scenario,trial_id,repetition,valid,invalid_reason,expected_tasks,requests,p50_ms,p95_ms,p99_ms,transform_attempts,original_get_count,publish_created,publish_existing,publish_conflict,cpu_time_ms,peak_memory_bytes
S4-AWS-1-CONTROL,retained-ad80a58dee07-S4-AWS-1-CONTROL-r01,1,true,,1,100,1238.279857,1252.324909,1253.990481,1,1,1,0,0,1154.492529,159600640
S4-AWS-2,retained-ad80a58dee07-S4-AWS-2-r01,1,true,,2,100,1135.056689,1195.216605,1197.256903,2,2,1,1,0,2113.655824,154161152
S4-AWS-4,retained-ad80a58dee07-S4-AWS-4-r01,1,true,,4,100,1073.715482,1110.890078,1111.565637,4,4,1,3,0,3859.622507,147697664
S4-AWS-4,retained-ad80a58dee07-S4-AWS-4-r02,2,true,,4,100,971.564136,995.027409,996.311135,4,4,1,3,0,3597.206180,169684992
S4-AWS-2,retained-ad80a58dee07-S4-AWS-2-r02,2,true,,2,100,1057.158175,1076.918256,1077.832451,2,2,1,1,0,2001.618192,165109760
S4-AWS-1-CONTROL,retained-ad80a58dee07-S4-AWS-1-CONTROL-r02,2,true,,1,100,1147.763797,1163.451723,1164.452507,1,1,1,0,0,1106.221901,166260736
S4-AWS-1-CONTROL,retained-ad80a58dee07-S4-AWS-1-CONTROL-r03,3,true,,1,100,1079.968679,1095.301500,1096.283587,1,1,1,0,0,1068.951986,222601216
S4-AWS-2,retained-ad80a58dee07-S4-AWS-2-r03,3,true,,2,100,1042.864603,1062.328187,1063.837733,2,2,1,1,0,1948.484405,218468352
S4-AWS-4,retained-ad80a58dee07-S4-AWS-4-r03,3,true,,4,100,1012.184156,1031.075315,1031.952963,4,4,1,3,0,3611.024522,211873792
S4-AWS-4,retained-ad80a58dee07-S4-AWS-4-r04,4,true,,4,100,965.220824,990.369216,992.184746,4,4,1,3,0,3537.667342,242991104
S4-AWS-2,retained-ad80a58dee07-S4-AWS-2-r04,4,true,,2,100,1095.861768,1111.645722,1113.241080,2,2,1,1,0,1952.780922,263393280
S4-AWS-1-CONTROL,retained-ad80a58dee07-S4-AWS-1-CONTROL-r04,4,true,,1,100,1168.640073,1182.307613,1183.127715,1,1,1,0,0,1070.382852,228659200
S4-AWS-1-CONTROL,retained-ad80a58dee07-S4-AWS-1-CONTROL-r05,5,true,,1,100,1054.523604,1065.705245,1067.613347,1,1,1,0,0,1029.192935,226656256
S4-AWS-2,retained-ad80a58dee07-S4-AWS-2-r05,5,true,,2,100,1054.165603,1071.327107,1072.239990,2,2,1,1,0,1911.992495,291164160
S4-AWS-4,retained-ad80a58dee07-S4-AWS-4-r05,5,true,,4,100,1016.233720,1049.024628,1050.750650,4,4,1,3,0,3558.640264,264302592
S4-AWS-4,retained-ad80a58dee07-S4-AWS-4-r06,6,true,,4,100,956.240697,1033.582176,1034.811081,4,4,1,3,0,3518.236602,305364992
S4-AWS-2,retained-ad80a58dee07-S4-AWS-2-r06,6,true,,2,100,1004.390465,1021.426621,1022.549988,2,2,1,1,0,1908.461218,296796160
S4-AWS-1-CONTROL,retained-ad80a58dee07-S4-AWS-1-CONTROL-r06,6,true,,1,100,1081.351261,1096.632960,1098.620925,1,1,1,0,0,1099.529668,283271168
S4-AWS-1-CONTROL,retained-ad80a58dee07-S4-AWS-1-CONTROL-r07,7,true,,1,100,1045.587756,1058.543676,1059.472758,1,1,1,0,0,1039.318341,287055872
S4-AWS-2,retained-ad80a58dee07-S4-AWS-2-r07,7,true,,2,100,967.179173,998.693490,1000.456337,2,2,1,1,0,1871.683185,298598400
S4-AWS-4,retained-ad80a58dee07-S4-AWS-4-r07,7,true,,4,100,981.843803,998.181374,999.374716,4,4,1,3,0,3543.423359,303202304
S4-AWS-4,retained-ad80a58dee07-S4-AWS-4-r08,8,true,,4,100,949.187415,964.978457,966.236059,4,4,1,3,0,3513.617916,310681600
S4-AWS-2,retained-ad80a58dee07-S4-AWS-2-r08,8,true,,2,100,1040.412226,1077.509932,1078.957584,2,2,1,1,0,1894.833855,290942976
S4-AWS-1-CONTROL,retained-ad80a58dee07-S4-AWS-1-CONTROL-r08,8,true,,1,100,1080.176106,1095.198184,1095.564488,1,1,1,0,0,1071.589976,279998464
S4-AWS-1-CONTROL,retained-ad80a58dee07-S4-AWS-1-CONTROL-r09,9,true,,1,100,1074.832700,1089.502687,1090.502519,1,1,1,0,0,1061.076410,280727552
S4-AWS-2,retained-ad80a58dee07-S4-AWS-2-r09,9,true,,2,100,980.782980,1009.436828,1010.498995,2,2,1,1,0,1901.579501,291082240
S4-AWS-4,retained-ad80a58dee07-S4-AWS-4-r09,9,true,,4,100,997.105820,1027.755003,1028.321736,4,4,1,3,0,3528.111485,337752064
S4-AWS-4,retained-ad80a58dee07-S4-AWS-4-r10,10,true,,4,100,970.245981,1001.765454,1002.801222,4,4,1,3,0,3518.670894,332668928
S4-AWS-2,retained-ad80a58dee07-S4-AWS-2-r10,10,true,,2,100,1674.805227,1763.040597,1777.266599,2,2,1,1,0,2047.471035,291147776
S4-AWS-1-CONTROL,retained-ad80a58dee07-S4-AWS-1-CONTROL-r10,10,true,,1,100,1092.879126,1108.408128,1110.143144,1,1,1,0,0,1066.874953,281133056
