run_id,trial_id,scenario,repetition,expected_tasks,deployment_stable_before,deployment_stable_after,healthy_before_task_ids,healthy_after_task_ids,prepared_task_ids,finished_task_ids,cold_confirmed,total_requests,success_requests,http_5xx,timeouts,connection_errors,start_skew_ms,response_sha256,response_bytes,stored_sha256,stored_bytes,stored_webp_valid,image_requests,derivative_get_hit,derivative_get_miss,derivative_get_error,derivative_get_bytes,original_get_count,original_get_bytes,transform_attempts,transform_success,transform_failure,transform_duration_nanos,transform_max_inflight,transform_inflight,coalesced_requests,publish_created,publish_existing,publish_conflict,publish_error,publish_attempt_bytes,coordinator_keys,coordinator_waiters,cpu_usage_nanos,peak_memory_bytes,resource_errors,p50_ms,p95_ms,p99_ms,valid,invalid_reason
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r01,S4-AWS-1-CONTROL,1,1,true,true,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,true,100,100,0,0,0,2.833593,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,0,101,0,0,1,4075024,1,1,0,800303130,1,0,99,1,0,0,0,67940,0,0,1154492529,159600640,0,1238.279857,1252.324909,1253.990481,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,1,2,true,true,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,true,100,100,0,0,0,2.712950,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,1,102,0,67940,2,8150048,2,2,0,1678073739,1,0,98,1,1,0,0,135880,0,0,2113655824,154161152,0,1135.056689,1195.216605,1197.256903,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,1,4,true,true,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,true,100,100,0,0,0,2.646847,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,3,104,0,203820,4,16300096,4,4,0,3268645218,1,0,96,1,3,0,0,271760,0,0,3859622507,147697664,0,1073.715482,1110.890078,1111.565637,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,2,4,true,true,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,true,100,100,0,0,0,2.531950,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,3,104,0,203820,4,16300096,4,4,0,3275625418,1,0,96,1,3,0,0,271760,0,0,3597206180,169684992,0,971.564136,995.027409,996.311135,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r02,S4-AWS-2,2,2,true,true,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,true,100,100,0,0,0,2.886433,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,1,102,0,67940,2,8150048,2,2,0,1666147620,1,0,98,1,1,0,0,135880,0,0,2001618192,165109760,0,1057.158175,1076.918256,1077.832451,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r02,S4-AWS-1-CONTROL,2,1,true,true,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,true,100,100,0,0,0,2.581367,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,0,101,0,0,1,4075024,1,1,0,805910847,1,0,99,1,0,0,0,67940,0,0,1106221901,166260736,0,1147.763797,1163.451723,1164.452507,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r03,S4-AWS-1-CONTROL,3,1,true,true,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,true,100,100,0,0,0,7.090339,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,0,101,0,0,1,4075024,1,1,0,779049383,1,0,99,1,0,0,0,67940,0,0,1068951986,222601216,0,1079.968679,1095.301500,1096.283587,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r03,S4-AWS-2,3,2,true,true,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,true,100,100,0,0,0,6.334421,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,1,102,0,67940,2,8150048,2,2,0,1630898835,1,0,98,1,1,0,0,135880,0,0,1948484405,218468352,0,1042.864603,1062.328187,1063.837733,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,3,4,true,true,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,true,100,100,0,0,0,2.884163,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,3,104,0,203820,4,16300096,4,4,0,3201937814,1,0,96,1,3,0,0,271760,0,0,3611024522,211873792,0,1012.184156,1031.075315,1031.952963,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r04,S4-AWS-4,4,4,true,true,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,true,100,100,0,0,0,3.482409,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,3,104,0,203820,4,16300096,4,4,0,3169307476,1,0,96,1,3,0,0,271760,0,0,3537667342,242991104,0,965.220824,990.369216,992.184746,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r04,S4-AWS-2,4,2,true,true,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,true,100,100,0,0,0,2.999418,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,1,102,0,67940,2,8150048,2,2,0,1640927523,1,0,98,1,1,0,0,135880,0,0,1952780922,263393280,0,1095.861768,1111.645722,1113.241080,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r04,S4-AWS-1-CONTROL,4,1,true,true,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,true,100,100,0,0,0,3.444661,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,0,101,0,0,1,4075024,1,1,0,770741416,1,0,99,1,0,0,0,67940,0,0,1070382852,228659200,0,1168.640073,1182.307613,1183.127715,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r05,S4-AWS-1-CONTROL,5,1,true,true,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,true,100,100,0,0,0,3.053491,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,0,101,0,0,1,4075024,1,1,0,783031040,1,0,99,1,0,0,0,67940,0,0,1029192935,226656256,0,1054.523604,1065.705245,1067.613347,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r05,S4-AWS-2,5,2,true,true,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,true,100,100,0,0,0,2.766465,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,1,102,0,67940,2,8150048,2,2,0,1608133225,1,0,98,1,1,0,0,135880,0,0,1911992495,291164160,0,1054.165603,1071.327107,1072.239990,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r05,S4-AWS-4,5,4,true,true,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,true,100,100,0,0,0,2.232406,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,3,104,0,203820,4,16300096,4,4,0,3143018073,1,0,96,1,3,0,0,271760,0,0,3558640264,264302592,0,1016.233720,1049.024628,1050.750650,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r06,S4-AWS-4,6,4,true,true,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,true,100,100,0,0,0,2.911776,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,3,104,0,203820,4,16300096,4,4,0,3175475425,1,0,96,1,3,0,0,271760,0,0,3518236602,305364992,0,956.240697,1033.582176,1034.811081,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r06,S4-AWS-2,6,2,true,true,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,true,100,100,0,0,0,2.978143,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,1,102,0,67940,2,8150048,2,2,0,1581255441,1,0,98,1,1,0,0,135880,0,0,1908461218,296796160,0,1004.390465,1021.426621,1022.549988,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r06,S4-AWS-1-CONTROL,6,1,true,true,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,true,100,100,0,0,0,2.371395,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,0,101,0,0,1,4075024,1,1,0,788511136,1,0,99,1,0,0,0,67940,0,0,1099529668,283271168,0,1081.351261,1096.632960,1098.620925,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r07,S4-AWS-1-CONTROL,7,1,true,true,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,true,100,100,0,0,0,2.808383,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,0,101,0,0,1,4075024,1,1,0,773286031,1,0,99,1,0,0,0,67940,0,0,1039318341,287055872,0,1045.587756,1058.543676,1059.472758,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r07,S4-AWS-2,7,2,true,true,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,true,100,100,0,0,0,3.092092,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,1,102,0,67940,2,8150048,2,2,0,1588459199,1,0,98,1,1,0,0,135880,0,0,1871683185,298598400,0,967.179173,998.693490,1000.456337,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r07,S4-AWS-4,7,4,true,true,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,true,100,100,0,0,0,2.304332,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,3,104,0,203820,4,16300096,4,4,0,3135868927,1,0,96,1,3,0,0,271760,0,0,3543423359,303202304,0,981.843803,998.181374,999.374716,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r08,S4-AWS-4,8,4,true,true,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,050220889959489bb6e4f9bfb1fc0f12;7d2442d248464707a35dc83c0a8489f6;b971842de91943808ec3bbb899e282d1;fdc782ff6e304ef5951f52985b40078d,true,100,100,0,0,0,2.409363,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,3,104,0,203820,4,16300096,4,4,0,3148404404,1,0,96,1,3,0,0,271760,0,0,3513617916,310681600,0,949.187415,964.978457,966.236059,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r08,S4-AWS-2,8,2,true,true,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,true,100,100,0,0,0,2.952402,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,1,102,0,67940,2,8150048,2,2,0,1594810259,1,0,98,1,1,0,0,135880,0,0,1894833855,290942976,0,1040.412226,1077.509932,1078.957584,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r08,S4-AWS-1-CONTROL,8,1,true,true,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,true,100,100,0,0,0,2.882635,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,0,101,0,0,1,4075024,1,1,0,775454676,1,0,99,1,0,0,0,67940,0,0,1071589976,279998464,0,1080.176106,1095.198184,1095.564488,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r09,S4-AWS-1-CONTROL,9,1,true,true,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,19c7928974ed4166b254fcce1564422a,true,100,100,0,0,0,4.014828,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,0,101,0,0,1,4075024,1,1,0,789867101,1,0,99,1,0,0,0,67940,0,0,1061076410,280727552,0,1074.832700,1089.502687,1090.502519,true,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r09,S4-AWS-2,9,2,true,true,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,02965b9adc1b4594a369a885d85b87a3;ff455c38fa774b599d4847691b63c291,true,100,100,0,0,0,2.989606,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,67940,true,100,1,102,0,67940,2,8150048,2,2,0,1575445093,1,0,98,1,1,0,0,135880,0,0,1901579501,291082240,0,980.782980,1009.436828,1010.498995,true,
