scenario,request_class,valid_trials,successful_requests,p50_mean_ms,p95_mean_ms,p99_mean_ms,transform_attempts_mean,publish_created_mean
F2,follow-up,10,10,0.129888,0.129888,0.129888,1.000000,1.000000
F2,hot,10,90,502.827649,502.907678,502.907678,1.000000,1.000000
S3-COLD,hot,10,900,647.350233,653.656743,654.021793,2.000000,2.000000
S3-COLD,unrelated,10,100,615.511260,624.305384,624.305384,2.000000,2.000000
S3-COLD-CONTROL,unrelated,10,100,322.591869,322.715470,322.715470,1.000000,1.000000
S3-WARM,hot,10,900,352.505791,361.336799,361.697976,1.000000,1.000000
S3-WARM,unrelated,10,100,55.652996,56.678581,56.678581,1.000000,1.000000
S3-WARM-CONTROL,unrelated,10,100,0.695091,0.867472,0.867472,0.000000,0.000000
S4-2,hot,10,1000,626.346099,645.576798,646.041173,2.000000,1.000000
S4-4,hot,10,1000,1294.549836,1338.920950,1339.363694,4.000000,1.000000
