trial_id,scenario,task_id,derivative_hits,derivative_misses,original_success,original_error,transform_success,transform_error,transform_timeout,transform_inflight,transform_max_inflight,coalesced,publish_created,publish_existing,publish_error
S3-COLD-CONTROL-r01,S3-COLD-CONTROL,process-01,0,10,1,0,1,0,0,0,1,9,1,0,0
S3-COLD-r01,S3-COLD,process-01,0,100,2,0,2,0,0,0,2,98,2,0,0
S3-WARM-CONTROL-r01,S3-WARM-CONTROL,process-01,10,0,0,0,0,0,0,0,0,0,0,0,0
S3-WARM-r01,S3-WARM,process-01,10,90,1,0,1,0,0,0,1,89,1,0,0
F2-r01,F2,process-01,1,10,1,0,1,0,0,0,1,9,1,0,0
S4-2-r01,S4-2,process-01,0,50,1,0,1,0,0,0,1,49,1,0,0
S4-2-r01,S4-2,process-02,0,50,1,0,1,0,0,0,1,49,0,1,0
S4-4-r01,S4-4,process-01,0,25,1,0,1,0,0,0,1,24,1,0,0
S4-4-r01,S4-4,process-02,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r01,S4-4,process-03,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r01,S4-4,process-04,0,25,1,0,1,0,0,0,1,24,0,1,0
S3-COLD-r02,S3-COLD,process-01,0,100,2,0,2,0,0,0,2,98,2,0,0
S3-COLD-CONTROL-r02,S3-COLD-CONTROL,process-01,0,10,1,0,1,0,0,0,1,9,1,0,0
S3-WARM-r02,S3-WARM,process-01,10,90,1,0,1,0,0,0,1,89,1,0,0
S3-WARM-CONTROL-r02,S3-WARM-CONTROL,process-01,10,0,0,0,0,0,0,0,0,0,0,0,0
F2-r02,F2,process-01,1,10,1,0,1,0,0,0,1,9,1,0,0
S4-4-r02,S4-4,process-01,0,25,1,0,1,0,0,0,1,24,1,0,0
S4-4-r02,S4-4,process-02,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r02,S4-4,process-03,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r02,S4-4,process-04,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-2-r02,S4-2,process-01,0,50,1,0,1,0,0,0,1,49,0,1,0
S4-2-r02,S4-2,process-02,0,50,1,0,1,0,0,0,1,49,1,0,0
S3-COLD-CONTROL-r03,S3-COLD-CONTROL,process-01,0,10,1,0,1,0,0,0,1,9,1,0,0
S3-COLD-r03,S3-COLD,process-01,0,100,2,0,2,0,0,0,2,98,2,0,0
S3-WARM-CONTROL-r03,S3-WARM-CONTROL,process-01,10,0,0,0,0,0,0,0,0,0,0,0,0
S3-WARM-r03,S3-WARM,process-01,10,90,1,0,1,0,0,0,1,89,1,0,0
F2-r03,F2,process-01,1,10,1,0,1,0,0,0,1,9,1,0,0
S4-2-r03,S4-2,process-01,0,50,1,0,1,0,0,0,1,49,1,0,0
S4-2-r03,S4-2,process-02,0,50,1,0,1,0,0,0,1,49,0,1,0
S4-4-r03,S4-4,process-01,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r03,S4-4,process-02,0,25,1,0,1,0,0,0,1,24,1,0,0
S4-4-r03,S4-4,process-03,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r03,S4-4,process-04,0,25,1,0,1,0,0,0,1,24,0,1,0
S3-COLD-r04,S3-COLD,process-01,0,100,2,0,2,0,0,0,2,98,2,0,0
S3-COLD-CONTROL-r04,S3-COLD-CONTROL,process-01,0,10,1,0,1,0,0,0,1,9,1,0,0
S3-WARM-r04,S3-WARM,process-01,10,90,1,0,1,0,0,0,1,89,1,0,0
S3-WARM-CONTROL-r04,S3-WARM-CONTROL,process-01,10,0,0,0,0,0,0,0,0,0,0,0,0
F2-r04,F2,process-01,1,10,1,0,1,0,0,0,1,9,1,0,0
S4-4-r04,S4-4,process-01,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r04,S4-4,process-02,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r04,S4-4,process-03,0,25,1,0,1,0,0,0,1,24,1,0,0
S4-4-r04,S4-4,process-04,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-2-r04,S4-2,process-01,0,50,1,0,1,0,0,0,1,49,0,1,0
S4-2-r04,S4-2,process-02,0,50,1,0,1,0,0,0,1,49,1,0,0
S3-COLD-CONTROL-r05,S3-COLD-CONTROL,process-01,0,10,1,0,1,0,0,0,1,9,1,0,0
S3-COLD-r05,S3-COLD,process-01,0,100,2,0,2,0,0,0,2,98,2,0,0
S3-WARM-CONTROL-r05,S3-WARM-CONTROL,process-01,10,0,0,0,0,0,0,0,0,0,0,0,0
S3-WARM-r05,S3-WARM,process-01,10,90,1,0,1,0,0,0,1,89,1,0,0
F2-r05,F2,process-01,1,10,1,0,1,0,0,0,1,9,1,0,0
S4-2-r05,S4-2,process-01,0,50,1,0,1,0,0,0,1,49,0,1,0
S4-2-r05,S4-2,process-02,0,50,1,0,1,0,0,0,1,49,1,0,0
S4-4-r05,S4-4,process-01,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r05,S4-4,process-02,0,25,1,0,1,0,0,0,1,24,1,0,0
S4-4-r05,S4-4,process-03,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r05,S4-4,process-04,0,25,1,0,1,0,0,0,1,24,0,1,0
S3-COLD-r06,S3-COLD,process-01,0,100,2,0,2,0,0,0,2,98,2,0,0
S3-COLD-CONTROL-r06,S3-COLD-CONTROL,process-01,0,10,1,0,1,0,0,0,1,9,1,0,0
S3-WARM-r06,S3-WARM,process-01,10,90,1,0,1,0,0,0,1,89,1,0,0
S3-WARM-CONTROL-r06,S3-WARM-CONTROL,process-01,10,0,0,0,0,0,0,0,0,0,0,0,0
F2-r06,F2,process-01,1,10,1,0,1,0,0,0,1,9,1,0,0
S4-4-r06,S4-4,process-01,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r06,S4-4,process-02,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r06,S4-4,process-03,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r06,S4-4,process-04,0,25,1,0,1,0,0,0,1,24,1,0,0
S4-2-r06,S4-2,process-01,0,50,1,0,1,0,0,0,1,49,0,1,0
S4-2-r06,S4-2,process-02,0,50,1,0,1,0,0,0,1,49,1,0,0
S3-COLD-CONTROL-r07,S3-COLD-CONTROL,process-01,0,10,1,0,1,0,0,0,1,9,1,0,0
S3-COLD-r07,S3-COLD,process-01,0,100,2,0,2,0,0,0,2,98,2,0,0
S3-WARM-CONTROL-r07,S3-WARM-CONTROL,process-01,10,0,0,0,0,0,0,0,0,0,0,0,0
S3-WARM-r07,S3-WARM,process-01,10,90,1,0,1,0,0,0,1,89,1,0,0
F2-r07,F2,process-01,1,10,1,0,1,0,0,0,1,9,1,0,0
S4-2-r07,S4-2,process-01,0,50,1,0,1,0,0,0,1,49,0,1,0
S4-2-r07,S4-2,process-02,0,50,1,0,1,0,0,0,1,49,1,0,0
S4-4-r07,S4-4,process-01,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r07,S4-4,process-02,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r07,S4-4,process-03,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r07,S4-4,process-04,0,25,1,0,1,0,0,0,1,24,1,0,0
S3-COLD-r08,S3-COLD,process-01,0,100,2,0,2,0,0,0,2,98,2,0,0
S3-COLD-CONTROL-r08,S3-COLD-CONTROL,process-01,0,10,1,0,1,0,0,0,1,9,1,0,0
S3-WARM-r08,S3-WARM,process-01,10,90,1,0,1,0,0,0,1,89,1,0,0
S3-WARM-CONTROL-r08,S3-WARM-CONTROL,process-01,10,0,0,0,0,0,0,0,0,0,0,0,0
F2-r08,F2,process-01,1,10,1,0,1,0,0,0,1,9,1,0,0
S4-4-r08,S4-4,process-01,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r08,S4-4,process-02,0,25,1,0,1,0,0,0,1,24,1,0,0
S4-4-r08,S4-4,process-03,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-4-r08,S4-4,process-04,0,25,1,0,1,0,0,0,1,24,0,1,0
S4-2-r08,S4-2,process-01,0,50,1,0,1,0,0,0,1,49,0,1,0
