run_id,trial_id,cold_state_id,scenario,mode,repetition,concurrency,valid,invalid_reason,start_skew_ms,total_requests,success_requests,error_requests,transform_attempts,original_reads,publish_created,publish_existing,coalesced_requests,p50_ms,p95_ms,p99_ms,cpu_time_ms,peak_rss_bytes,peak_cgroup_memory_bytes
calibration-20260902-f,S0-r01,S0-r01,S0,none,1,1,true,,0.000000,1,1,0,1,1,1,0,0,314.508339,314.508339,314.508339,316.097000,176754688,160948224
calibration-20260902-f,S2-10-r01,S2-10-r01,S2-10,process-singleflight,1,10,true,,0.362779,10,10,0,1,1,1,0,9,314.003743,314.136310,314.136310,317.298000,176447488,161075200
calibration-20260902-f,S1-10-r01,S1-10-r01,S1-10,none,1,10,true,,0.277955,10,10,0,10,10,1,9,0,2417.315021,3224.813705,3224.813705,3284.288000,683061248,670752768
calibration-20260902-f,S1-50-r01,S1-50-r01,S1-50,none,1,50,true,,0.640235,50,50,0,50,50,1,49,0,8584.994563,15398.299289,15719.610887,15829.911000,1104990208,1094676480
calibration-20260902-f,S2-50-r01,S2-50-r01,S2-50,process-singleflight,1,50,true,,0.641719,50,50,0,1,1,1,0,49,337.790205,339.352508,339.413742,334.472000,173645824,162668544
calibration-20260902-f,S2-100-r01,S2-100-r01,S2-100,process-singleflight,1,100,false,start_skew_exceeded,52.769672,100,100,0,1,1,1,0,99,300.561872,324.529707,325.199938,342.294000,173703168,163635200
calibration-20260902-f,S1-100-r01,S1-100-r01,S1-100,none,1,100,true,,49.525653,100,100,0,100,100,1,99,0,16305.619600,30260.084572,31270.438632,31445.849000,1296273408,1287204864
calibration-20260902-f,S0-r02,S0-r02,S0,none,2,1,true,,0.000000,1,1,0,1,1,1,0,0,313.349378,313.349378,313.349378,314.329000,176857088,163028992
calibration-20260902-f,S1-10-r02,S1-10-r02,S1-10,none,2,10,true,,0.175626,10,10,0,10,10,1,9,0,2475.671177,3114.565821,3114.565821,3170.657000,625680384,614158336
calibration-20260902-f,S2-10-r02,S2-10-r02,S2-10,process-singleflight,2,10,true,,0.253085,10,10,0,1,1,1,0,9,318.675593,318.706510,318.706510,324.575000,170463232,156106752
calibration-20260902-f,S2-50-r02,S2-50-r02,S2-50,process-singleflight,2,50,true,,0.679506,50,50,0,1,1,1,0,49,336.314586,338.130517,338.270757,326.954000,172560384,159064064
calibration-20260902-f,S1-50-r02,S1-50-r02,S1-50,none,2,50,true,,0.642376,50,50,0,50,50,1,49,0,8344.652405,15323.523351,15634.969548,15691.784000,1080418304,1070407680
calibration-20260902-f,S1-100-r02,S1-100-r02,S1-100,none,2,100,false,start_skew_exceeded,69.309836,100,100,0,100,100,1,99,0,16256.059843,30155.932447,31258.596965,31437.107000,1288445952,1283162112
calibration-20260902-f,S2-100-r02,S2-100-r02,S2-100,process-singleflight,2,100,false,start_skew_exceeded,53.431518,100,100,0,1,1,1,0,99,303.338022,328.694762,329.668279,337.907000,178343936,168550400
calibration-20260902-f,F1-r01,F1-r01,F1,process-singleflight,1,10,true,,0.203128,11,1,10,2,2,1,0,9,202.463233,202.534176,202.534176,14.409000,69570560,61341696
