run_id,trial_id,cold_state_id,scenario,mode,repetition,concurrency,valid,invalid_reason,start_skew_ms,total_requests,success_requests,error_requests,transform_attempts,original_reads,publish_created,publish_existing,coalesced_requests,p50_ms,p95_ms,p99_ms,cpu_time_ms,peak_rss_bytes,peak_cgroup_memory_bytes
retained-20260902-68135d3ad33f,S0-r01,S0-r01,S0,none,1,1,true,,0.000000,1,1,0,1,1,1,0,0,330.374170,330.374170,330.374170,323.432000,175562752,207241216
retained-20260902-68135d3ad33f,S2-10-r01,S2-10-r01,S2-10,process-singleflight,1,10,true,,0.268812,10,10,0,1,1,1,0,9,315.375837,315.407612,315.407612,320.448000,171388928,203239424
retained-20260902-68135d3ad33f,S1-10-r01,S1-10-r01,S1-10,none,1,10,true,,0.230772,10,10,0,10,10,1,9,0,2505.410144,3288.379561,3288.379561,3294.558000,638107648,673574912
retained-20260902-68135d3ad33f,S1-50-r01,S1-50-r01,S1-50,none,1,50,true,,1.293915,50,50,0,50,50,1,49,0,8857.874275,15444.284248,16051.622620,16067.243000,1070936064,1109041152
retained-20260902-68135d3ad33f,S2-50-r01,S2-50-r01,S2-50,process-singleflight,1,50,true,,1.019076,50,50,0,1,1,1,0,49,344.095079,345.756864,346.067934,331.936000,177778688,214876160
retained-20260902-68135d3ad33f,S2-100-r01,S2-100-r01,S2-100,process-singleflight,1,100,true,,44.157047,100,100,0,1,1,1,0,99,318.574314,350.010769,350.551909,350.959000,178511872,217300992
retained-20260902-68135d3ad33f,S1-100-r01,S1-100-r01,S1-100,none,1,100,true,,17.386523,100,100,0,100,100,1,99,0,16687.260696,30972.356049,32014.868569,32180.423000,1434783744,1472008192
retained-20260902-68135d3ad33f,S0-r02,S0-r02,S0,none,2,1,true,,0.000000,1,1,0,1,1,1,0,0,317.349758,317.349758,317.349758,321.257000,170631168,204664832
retained-20260902-68135d3ad33f,S1-10-r02,S1-10-r02,S1-10,none,2,10,true,,0.254585,10,10,0,10,10,1,9,0,2452.602161,3338.734455,3338.734455,3369.708000,698998784,735870976
retained-20260902-68135d3ad33f,S2-10-r02,S2-10-r02,S2-10,process-singleflight,2,10,true,,0.290312,10,10,0,1,1,1,0,9,324.294222,324.407777,324.407777,329.096000,171798528,207536128
retained-20260902-68135d3ad33f,S2-50-r02,S2-50-r02,S2-50,process-singleflight,2,50,true,,0.936472,50,50,0,1,1,1,0,49,336.064196,350.132332,350.218261,348.376000,179286016,212951040
retained-20260902-68135d3ad33f,S1-50-r02,S1-50-r02,S1-50,none,2,50,true,,0.901958,50,50,0,50,50,1,49,0,8760.525056,15459.301108,15884.591498,16066.438000,985161728,1024245760
retained-20260902-68135d3ad33f,S1-100-r02,S1-100-r02,S1-100,none,2,100,true,,11.289277,100,100,0,100,100,1,99,0,16997.544279,31087.811707,32037.186257,32185.485000,1354919936,1392791552
