mode,fault,stream,phase,trials,requests_mean,success_rate_mean,error_rate_mean,shed_rate_mean,kill_switch_rate_mean,affected_rate_mean,affected_rate_min,affected_rate_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,max_mean_ms
baseline,none,hit,normal,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,hit,fault,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,hit,recovery,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,healthy-miss,normal,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,healthy-miss,fault,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,healthy-miss,recovery,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,poisoned-miss,normal,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,poisoned-miss,fault,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,none,poisoned-miss,recovery,0,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,transform-timeout,hit,normal,1,589.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.314,62.051,92.530,92.530,92.530,101.323
baseline,transform-timeout,hit,fault,1,1198.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.372,36.125,60.890,60.890,60.890,104.120
baseline,transform-timeout,hit,recovery,1,1192.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.338,61.720,71.839,71.839,71.839,101.477
baseline,transform-timeout,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12200.749,17876.635,17876.635,17876.635,17876.635,17880.662
baseline,transform-timeout,healthy-miss,fault,1,30.000,0.766667,0.233333,0.000000,0.000000,0.233333,0.233333,0.233333,17854.941,23153.718,23450.755,23450.755,23450.755,23523.421
baseline,transform-timeout,healthy-miss,recovery,1,30.000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,20024.438,24100.461,24109.805,24109.805,24109.805,24820.358
baseline,transform-timeout,poisoned-miss,normal,1,29.000,0.689655,0.310345,0.000000,0.000000,0.310345,0.310345,0.310345,11541.046,20013.656,20014.606,20014.606,20014.606,20016.149
baseline,transform-timeout,poisoned-miss,fault,1,60.000,0.033333,0.966667,0.000000,0.000000,0.966667,0.966667,0.966667,20014.042,23923.314,24509.857,24509.857,24509.857,25010.400
baseline,transform-timeout,poisoned-miss,recovery,1,60.000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,23310.112,24502.171,24608.806,24608.806,24608.806,24922.790
