mode,fault,stream,phase,trials,requests_mean,success_rate_mean,error_rate_mean,shed_rate_mean,kill_switch_rate_mean,affected_rate_mean,affected_rate_min,affected_rate_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,max_mean_ms
baseline,none,hit,normal,2,149.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.157,28.817,36.087,31.643,40.532,76.855
baseline,none,hit,fault,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.462,30.693,45.545,43.887,47.203,84.493
baseline,none,hit,recovery,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.531,29.611,42.921,42.781,43.060,78.707
baseline,none,healthy-miss,normal,2,5.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2239.579,2259.261,2259.261,2214.037,2304.486,2422.570
baseline,none,healthy-miss,fault,2,12.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2248.258,2333.688,2333.688,2320.343,2347.032,2379.949
baseline,none,healthy-miss,recovery,2,12.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2251.501,2364.401,2364.401,2330.738,2398.064,2405.785
baseline,none,poisoned-miss,normal,2,11.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,908.718,2275.568,2275.568,2217.284,2333.852,2431.684
baseline,none,poisoned-miss,fault,2,24.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,904.871,2327.363,2355.062,2333.066,2377.059,2365.599
baseline,none,poisoned-miss,recovery,2,24.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,899.473,2318.986,2356.526,2333.979,2379.073,2389.242
bounded-wait,none,hit,normal,2,149.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.350,41.145,57.358,30.685,84.030,61.540
bounded-wait,none,hit,fault,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.587,56.622,61.127,38.350,83.904,92.965
bounded-wait,none,hit,recovery,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.006,56.002,57.432,31.042,83.823,92.870
bounded-wait,none,healthy-miss,normal,2,5.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2252.720,2292.041,2292.041,2264.472,2319.610,2364.377
bounded-wait,none,healthy-miss,fault,2,12.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2259.385,2351.774,2351.774,2335.587,2367.960,2359.316
bounded-wait,none,healthy-miss,recovery,2,12.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2189.126,2290.744,2290.744,2265.561,2315.926,2384.979
bounded-wait,none,poisoned-miss,normal,2,11.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,920.199,2313.378,2313.378,2261.431,2365.324,2357.517
bounded-wait,none,poisoned-miss,fault,2,24.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,913.188,2326.728,2356.225,2328.516,2383.933,2369.714
bounded-wait,none,poisoned-miss,recovery,2,24.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,908.221,2261.966,2281.258,2247.408,2315.108,2313.165
kill-switch,none,hit,normal,2,149.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.935,65.466,65.612,64.715,66.509,66.667
kill-switch,none,hit,fault,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.694,65.489,66.027,64.679,67.375,70.768
kill-switch,none,hit,recovery,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.681,65.499,65.701,64.779,66.622,75.854
kill-switch,none,healthy-miss,normal,2,5.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2305.373,2307.795,2307.795,2304.987,2310.603,2337.906
kill-switch,none,healthy-miss,fault,2,12.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2261.743,2332.952,2332.952,2328.194,2337.709,2348.952
kill-switch,none,healthy-miss,recovery,2,12.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2246.505,2327.566,2327.566,2316.799,2338.333,2366.829
kill-switch,none,poisoned-miss,normal,2,11.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,907.244,2311.975,2311.975,2304.071,2319.879,2348.016
kill-switch,none,poisoned-miss,fault,2,24.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,932.149,2320.707,2334.543,2330.227,2338.858,2355.605
kill-switch,none,poisoned-miss,recovery,2,24.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,909.149,2333.818,2344.993,2325.313,2364.673,2395.753
baseline,transform-timeout,hit,normal,2,149.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.749,29.203,46.433,45.542,47.323,72.505
