mode,fault,stream,bucket_start_ms,trials,requests_mean,error_rate_mean,shed_rate_mean,affected_rate_mean,p99_mean_ms,max_mean_ms
baseline,none,hit,0.000,2,24.000,0.000000,0.000000,0.000000,36.040,46.569
baseline,none,hit,5000.000,2,25.000,0.000000,0.000000,0.000000,28.108,65.005
baseline,none,hit,10000.000,2,25.000,0.000000,0.000000,0.000000,29.326,29.483
baseline,none,hit,15000.000,2,25.000,0.000000,0.000000,0.000000,28.786,29.376
baseline,none,hit,20000.000,2,25.000,0.000000,0.000000,0.000000,27.988,40.959
baseline,none,hit,25000.000,2,25.000,0.000000,0.000000,0.000000,28.902,29.100
baseline,none,hit,30000.000,2,25.000,0.000000,0.000000,0.000000,29.343,40.261
baseline,none,hit,35000.000,2,25.000,0.000000,0.000000,0.000000,29.838,38.019
baseline,none,hit,40000.000,2,25.000,0.000000,0.000000,0.000000,30.367,36.305
baseline,none,hit,45000.000,2,25.000,0.000000,0.000000,0.000000,31.858,42.227
baseline,none,hit,50000.000,2,25.000,0.000000,0.000000,0.000000,30.188,40.790
baseline,none,hit,55000.000,2,25.000,0.000000,0.000000,0.000000,30.389,31.192
baseline,none,hit,60000.000,2,25.000,0.000000,0.000000,0.000000,28.427,35.370
baseline,none,hit,65000.000,2,25.000,0.000000,0.000000,0.000000,31.428,68.118
baseline,none,hit,70000.000,2,25.000,0.000000,0.000000,0.000000,30.078,30.952
baseline,none,hit,75000.000,2,25.000,0.000000,0.000000,0.000000,30.463,31.852
baseline,none,hit,80000.000,2,25.000,0.000000,0.000000,0.000000,29.275,84.344
baseline,none,hit,85000.000,2,25.000,0.000000,0.000000,0.000000,29.657,47.700
baseline,none,hit,90000.000,2,25.000,0.000000,0.000000,0.000000,35.122,39.347
baseline,none,hit,95000.000,2,25.000,0.000000,0.000000,0.000000,29.033,29.209
baseline,none,hit,100000.000,2,25.000,0.000000,0.000000,0.000000,36.133,36.907
baseline,none,hit,105000.000,2,25.000,0.000000,0.000000,0.000000,31.024,42.812
baseline,none,hit,110000.000,2,25.000,0.000000,0.000000,0.000000,27.901,28.389
baseline,none,hit,115000.000,2,25.000,0.000000,0.000000,0.000000,35.328,64.998
