mode,fault,stream,bucket_start_ms,trials,requests_mean,error_rate_mean,shed_rate_mean,affected_rate_mean,p99_mean_ms,max_mean_ms
baseline,none,hit,0.000,1,99.000,0.000000,0.000000,0.000000,20.076,42.166
baseline,none,hit,5000.000,1,100.000,0.000000,0.000000,0.000000,42.400,43.171
baseline,none,hit,10000.000,1,100.000,0.000000,0.000000,0.000000,41.793,43.333
baseline,none,hit,15000.000,1,100.000,0.000000,0.000000,0.000000,41.868,42.204
baseline,none,hit,20000.000,1,99.000,0.000000,0.000000,0.000000,46.242,46.794
baseline,none,hit,25000.000,1,100.000,0.000000,0.000000,0.000000,42.616,44.222
baseline,none,hit,30000.000,1,100.000,0.000000,0.000000,0.000000,42.127,42.458
baseline,none,hit,35000.000,1,100.000,0.000000,0.000000,0.000000,41.871,42.117
baseline,none,hit,40000.000,1,100.000,0.000000,0.000000,0.000000,42.761,46.724
baseline,none,hit,45000.000,1,100.000,0.000000,0.000000,0.000000,42.402,42.630
baseline,none,hit,50000.000,1,100.000,0.000000,0.000000,0.000000,42.308,42.323
baseline,none,hit,55000.000,1,100.000,0.000000,0.000000,0.000000,41.800,42.243
baseline,none,hit,60000.000,1,100.000,0.000000,0.000000,0.000000,42.711,42.813
baseline,none,hit,65000.000,1,100.000,0.000000,0.000000,0.000000,42.595,42.703
baseline,none,hit,70000.000,1,100.000,0.000000,0.000000,0.000000,42.363,42.404
baseline,none,hit,75000.000,1,100.000,0.000000,0.000000,0.000000,42.302,42.626
baseline,none,hit,80000.000,1,100.000,0.000000,0.000000,0.000000,42.816,43.287
baseline,none,hit,85000.000,1,100.000,0.000000,0.000000,0.000000,42.306,42.588
baseline,none,hit,90000.000,1,100.000,0.000000,0.000000,0.000000,42.081,42.328
baseline,none,hit,95000.000,1,100.000,0.000000,0.000000,0.000000,42.334,42.465
baseline,none,hit,100000.000,1,100.000,0.000000,0.000000,0.000000,42.354,42.620
baseline,none,hit,105000.000,1,100.000,0.000000,0.000000,0.000000,41.565,42.146
baseline,none,hit,110000.000,1,100.000,0.000000,0.000000,0.000000,41.646,42.206
baseline,none,hit,115000.000,1,100.000,0.000000,0.000000,0.000000,15.358,41.491
baseline,none,hit,120000.000,1,100.000,0.000000,0.000000,0.000000,8.304,15.655
baseline,none,hit,125000.000,1,100.000,0.000000,0.000000,0.000000,15.347,19.853
baseline,none,hit,130000.000,1,100.000,0.000000,0.000000,0.000000,41.840,42.461
baseline,none,hit,135000.000,1,100.000,0.000000,0.000000,0.000000,41.715,41.739
baseline,none,hit,140000.000,1,100.000,0.000000,0.000000,0.000000,1.369,42.409
baseline,none,hit,145000.000,1,100.000,0.000000,0.000000,0.000000,42.439,42.496
baseline,none,healthy-miss,0.000,1,4.000,0.000000,0.000000,0.000000,556.309,556.896
baseline,none,healthy-miss,5000.000,1,5.000,0.000000,0.000000,0.000000,553.344,559.511
baseline,none,healthy-miss,10000.000,1,5.000,0.000000,0.000000,0.000000,554.235,573.664
baseline,none,healthy-miss,15000.000,1,5.000,0.000000,0.000000,0.000000,578.978,653.822
baseline,none,healthy-miss,20000.000,1,5.000,0.000000,0.000000,0.000000,2364.354,2450.254
baseline,none,healthy-miss,25000.000,1,5.000,0.000000,0.000000,0.000000,2353.318,2355.027
baseline,none,healthy-miss,30000.000,1,5.000,0.000000,0.000000,0.000000,2251.199,2256.671
baseline,none,healthy-miss,35000.000,1,5.000,0.000000,0.000000,0.000000,1957.049,2146.094
baseline,none,healthy-miss,40000.000,1,5.000,0.000000,0.000000,0.000000,3145.881,3744.023
baseline,none,healthy-miss,45000.000,1,5.000,0.000000,0.000000,0.000000,3248.340,3658.010
baseline,none,healthy-miss,50000.000,1,5.000,0.000000,0.000000,0.000000,3151.784,3359.775
baseline,none,healthy-miss,55000.000,1,5.000,0.000000,0.000000,0.000000,2962.616,3247.728
baseline,none,healthy-miss,60000.000,1,5.000,0.000000,0.000000,0.000000,2752.093,2954.846
baseline,none,healthy-miss,65000.000,1,5.000,0.000000,0.000000,0.000000,2662.417,2854.490
baseline,none,healthy-miss,70000.000,1,5.000,0.000000,0.000000,0.000000,2458.725,2762.188
baseline,none,healthy-miss,75000.000,1,5.000,0.000000,0.000000,0.000000,2479.814,2565.236
baseline,none,healthy-miss,80000.000,1,5.000,0.000000,0.000000,0.000000,2146.154,2251.046
baseline,none,healthy-miss,85000.000,1,5.000,0.000000,0.000000,0.000000,1655.236,2144.596
baseline,none,healthy-miss,90000.000,1,5.000,0.000000,0.000000,0.000000,1450.610,1456.634
baseline,none,healthy-miss,95000.000,1,5.000,0.000000,0.000000,0.000000,966.539,967.452
baseline,none,healthy-miss,100000.000,1,5.000,0.000000,0.000000,0.000000,555.257,643.043
baseline,none,healthy-miss,105000.000,1,5.000,0.000000,0.000000,0.000000,562.051,565.829
baseline,none,healthy-miss,110000.000,1,5.000,0.000000,0.000000,0.000000,554.572,554.946
baseline,none,healthy-miss,115000.000,1,5.000,0.000000,0.000000,0.000000,554.054,565.835
baseline,none,healthy-miss,120000.000,1,5.000,0.000000,0.000000,0.000000,552.453,553.353
baseline,none,healthy-miss,125000.000,1,5.000,0.000000,0.000000,0.000000,556.280,644.103
baseline,none,healthy-miss,130000.000,1,5.000,0.000000,0.000000,0.000000,543.242,551.585
baseline,none,healthy-miss,135000.000,1,5.000,0.000000,0.000000,0.000000,551.568,554.407
baseline,none,healthy-miss,140000.000,1,5.000,0.000000,0.000000,0.000000,548.842,555.938
baseline,none,healthy-miss,145000.000,1,5.000,0.000000,0.000000,0.000000,560.537,568.789
baseline,none,poisoned-miss,0.000,1,9.000,0.000000,0.000000,0.000000,564.136,566.262
baseline,none,poisoned-miss,5000.000,1,10.000,0.000000,0.000000,0.000000,558.684,580.938
baseline,none,poisoned-miss,10000.000,1,10.000,0.000000,0.000000,0.000000,578.317,651.263
baseline,none,poisoned-miss,15000.000,1,10.000,0.000000,0.000000,0.000000,552.783,653.034
baseline,none,poisoned-miss,20000.000,1,10.000,0.000000,0.000000,0.000000,2247.224,2259.974
baseline,none,poisoned-miss,25000.000,1,10.000,0.000000,0.000000,0.000000,2302.355,2460.935
baseline,none,poisoned-miss,30000.000,1,10.000,0.000000,0.000000,0.000000,2354.640,2355.436
baseline,none,poisoned-miss,35000.000,1,10.000,0.000000,0.000000,0.000000,2246.227,2358.732
baseline,none,poisoned-miss,40000.000,1,10.000,0.000000,0.000000,0.000000,2963.419,3145.974
baseline,none,poisoned-miss,45000.000,1,10.000,0.000000,0.000000,0.000000,3644.586,3671.720
baseline,none,poisoned-miss,50000.000,1,10.000,0.000000,0.000000,0.000000,3545.103,3649.232
baseline,none,poisoned-miss,55000.000,1,10.000,0.000000,0.000000,0.000000,3053.339,3249.445
baseline,none,poisoned-miss,60000.000,1,10.000,0.000000,0.000000,0.000000,2949.329,2957.344
baseline,none,poisoned-miss,65000.000,1,10.000,0.000000,0.000000,0.000000,2747.125,2749.716
baseline,none,poisoned-miss,70000.000,1,10.000,0.000000,0.000000,0.000000,2561.585,2650.449
baseline,none,poisoned-miss,75000.000,1,10.000,0.000000,0.000000,0.000000,2162.009,2250.022
baseline,none,poisoned-miss,80000.000,1,10.000,0.000000,0.000000,0.000000,2059.910,2148.967
baseline,none,poisoned-miss,85000.000,1,10.000,0.000000,0.000000,0.000000,1943.971,1959.084
baseline,none,poisoned-miss,90000.000,1,10.000,0.000000,0.000000,0.000000,1364.566,1762.423
baseline,none,poisoned-miss,95000.000,1,10.000,0.000000,0.000000,0.000000,1050.326,1154.379
baseline,none,poisoned-miss,100000.000,1,10.000,0.000000,0.000000,0.000000,572.985,654.105
baseline,none,poisoned-miss,105000.000,1,10.000,0.000000,0.000000,0.000000,558.315,558.519
baseline,none,poisoned-miss,110000.000,1,10.000,0.000000,0.000000,0.000000,562.080,573.573
baseline,none,poisoned-miss,115000.000,1,10.000,0.000000,0.000000,0.000000,552.797,556.656
baseline,none,poisoned-miss,120000.000,1,10.000,0.000000,0.000000,0.000000,555.208,564.380
baseline,none,poisoned-miss,125000.000,1,10.000,0.000000,0.000000,0.000000,560.722,562.285
baseline,none,poisoned-miss,130000.000,1,10.000,0.000000,0.000000,0.000000,552.316,557.155
baseline,none,poisoned-miss,135000.000,1,10.000,0.000000,0.000000,0.000000,554.288,566.033
baseline,none,poisoned-miss,140000.000,1,10.000,0.000000,0.000000,0.000000,548.153,560.804
baseline,none,poisoned-miss,145000.000,1,10.000,0.000000,0.000000,0.000000,566.449,573.498
