mode,fault,stream,bucket_start_ms,trials,requests_mean,error_rate_mean,shed_rate_mean,affected_rate_mean,p99_mean_ms,max_mean_ms
baseline,none,hit,0.000,1,99.000,0.000000,0.000000,0.000000,19.141,19.657
baseline,none,hit,5000.000,1,100.000,0.000000,0.000000,0.000000,0.885,19.937
baseline,none,hit,10000.000,1,100.000,0.000000,0.000000,0.000000,1.188,19.756
baseline,none,hit,15000.000,1,100.000,0.000000,0.000000,0.000000,18.697,20.198
baseline,none,hit,20000.000,1,100.000,0.000000,0.000000,0.000000,1.152,20.125
baseline,none,hit,25000.000,1,100.000,0.000000,0.000000,0.000000,0.619,0.963
baseline,none,hit,30000.000,1,100.000,0.000000,0.000000,0.000000,18.466,18.565
baseline,none,hit,35000.000,1,100.000,0.000000,0.000000,0.000000,1.676,19.067
baseline,none,hit,40000.000,1,100.000,0.000000,0.000000,0.000000,18.601,20.639
baseline,none,hit,45000.000,1,100.000,0.000000,0.000000,0.000000,19.219,20.016
baseline,none,hit,50000.000,1,100.000,0.000000,0.000000,0.000000,1.042,19.556
baseline,none,hit,55000.000,1,100.000,0.000000,0.000000,0.000000,1.341,19.561
baseline,none,hit,60000.000,1,100.000,0.000000,0.000000,0.000000,19.668,19.865
baseline,none,hit,65000.000,1,100.000,0.000000,0.000000,0.000000,1.465,1.489
baseline,none,hit,70000.000,1,100.000,0.000000,0.000000,0.000000,19.434,19.496
baseline,none,hit,75000.000,1,100.000,0.000000,0.000000,0.000000,1.120,19.149
baseline,none,hit,80000.000,1,100.000,0.000000,0.000000,0.000000,19.785,20.141
baseline,none,hit,85000.000,1,100.000,0.000000,0.000000,0.000000,18.692,20.166
baseline,none,hit,90000.000,1,100.000,0.000000,0.000000,0.000000,19.185,20.092
baseline,none,hit,95000.000,1,100.000,0.000000,0.000000,0.000000,1.287,19.080
baseline,none,hit,100000.000,1,100.000,0.000000,0.000000,0.000000,1.352,1.535
baseline,none,hit,105000.000,1,100.000,0.000000,0.000000,0.000000,19.416,19.582
baseline,none,hit,110000.000,1,100.000,0.000000,0.000000,0.000000,1.440,20.180
baseline,none,hit,115000.000,1,100.000,0.000000,0.000000,0.000000,19.493,20.350
baseline,none,hit,120000.000,1,100.000,0.000000,0.000000,0.000000,19.190,19.224
baseline,none,hit,125000.000,1,100.000,0.000000,0.000000,0.000000,18.945,20.135
baseline,none,hit,130000.000,1,100.000,0.000000,0.000000,0.000000,19.565,19.735
