mode,fault,stream,phase,trials,requests_mean,success_rate_mean,error_rate_mean,shed_rate_mean,kill_switch_rate_mean,affected_rate_mean,affected_rate_min,affected_rate_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,max_mean_ms
baseline,none,hit,normal,1,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.369,0.569,0.869,0.869,0.869,20.530
baseline,none,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.369,0.570,1.158,1.158,1.158,19.741
baseline,none,hit,recovery,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.367,0.485,19.627,19.627,19.627,20.694
baseline,none,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,571.705,590.762,590.762,590.762,590.762,602.771
baseline,none,healthy-miss,fault,1,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,567.979,580.176,590.233,590.233,590.233,593.469
baseline,none,healthy-miss,recovery,1,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,567.402,571.919,572.568,572.568,572.568,573.959
baseline,none,poisoned-miss,normal,1,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,391.427,588.620,609.092,609.092,609.092,611.553
baseline,none,poisoned-miss,fault,1,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,299.392,572.377,577.958,577.958,577.958,588.641
baseline,none,poisoned-miss,recovery,1,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,309.364,573.213,574.413,574.413,574.413,580.327
bounded-wait,none,hit,normal,1,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.369,0.547,1.097,1.097,1.097,45.776
bounded-wait,none,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.370,0.617,20.228,20.228,20.228,46.607
bounded-wait,none,hit,recovery,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.366,0.631,20.123,20.123,20.123,48.147
bounded-wait,none,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,602.706,609.124,609.124,609.124,609.124,626.951
bounded-wait,none,healthy-miss,fault,1,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,601.210,609.750,617.932,617.932,617.932,624.259
bounded-wait,none,healthy-miss,recovery,1,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599.339,604.838,612.527,612.527,612.527,622.518
bounded-wait,none,poisoned-miss,normal,1,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,310.983,620.396,627.615,627.615,627.615,629.858
bounded-wait,none,poisoned-miss,fault,1,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,315.290,609.771,611.371,611.371,611.371,619.945
bounded-wait,none,poisoned-miss,recovery,1,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.933,603.072,604.530,604.530,604.530,615.488
kill-switch,none,hit,normal,1,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.367,0.612,19.802,19.802,19.802,20.957
kill-switch,none,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.364,0.646,20.063,20.063,20.063,20.730
kill-switch,none,hit,recovery,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.367,0.685,20.086,20.086,20.086,20.747
kill-switch,none,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,547.930,552.319,552.319,552.319,552.319,560.662
kill-switch,none,healthy-miss,fault,1,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,549.106,560.119,561.926,561.926,561.926,562.823
