mode,fault,stream,bucket_start_ms,trials,requests_mean,error_rate_mean,shed_rate_mean,affected_rate_mean,p99_mean_ms,max_mean_ms
baseline,none,hit,0.000,1,99.000,0.000000,0.000000,0.000000,0.960,19.601
baseline,none,hit,5000.000,1,100.000,0.000000,0.000000,0.000000,0.783,0.821
baseline,none,hit,10000.000,1,100.000,0.000000,0.000000,0.000000,0.780,1.003
baseline,none,hit,15000.000,1,100.000,0.000000,0.000000,0.000000,0.869,2.005
baseline,none,hit,20000.000,1,100.000,0.000000,0.000000,0.000000,0.696,0.824
baseline,none,hit,25000.000,1,100.000,0.000000,0.000000,0.000000,0.984,20.530
baseline,none,hit,30000.000,1,100.000,0.000000,0.000000,0.000000,0.945,1.060
baseline,none,hit,35000.000,1,100.000,0.000000,0.000000,0.000000,1.090,14.753
baseline,none,hit,40000.000,1,100.000,0.000000,0.000000,0.000000,0.922,1.603
baseline,none,hit,45000.000,1,100.000,0.000000,0.000000,0.000000,0.876,0.903
baseline,none,hit,50000.000,1,100.000,0.000000,0.000000,0.000000,15.675,19.741
baseline,none,hit,55000.000,1,100.000,0.000000,0.000000,0.000000,1.141,1.161
baseline,none,hit,60000.000,1,100.000,0.000000,0.000000,0.000000,1.158,1.572
baseline,none,hit,65000.000,1,100.000,0.000000,0.000000,0.000000,1.030,15.597
baseline,none,hit,70000.000,1,100.000,0.000000,0.000000,0.000000,0.940,1.015
baseline,none,hit,75000.000,1,100.000,0.000000,0.000000,0.000000,0.967,15.628
baseline,none,hit,80000.000,1,100.000,0.000000,0.000000,0.000000,0.904,19.625
baseline,none,hit,85000.000,1,100.000,0.000000,0.000000,0.000000,1.192,1.817
baseline,none,hit,90000.000,1,100.000,0.000000,0.000000,0.000000,1.406,1.905
baseline,none,hit,95000.000,1,100.000,0.000000,0.000000,0.000000,1.728,19.627
baseline,none,hit,100000.000,1,100.000,0.000000,0.000000,0.000000,19.819,19.942
baseline,none,hit,105000.000,1,100.000,0.000000,0.000000,0.000000,1.098,20.336
baseline,none,hit,110000.000,1,100.000,0.000000,0.000000,0.000000,14.906,19.841
baseline,none,hit,115000.000,1,100.000,0.000000,0.000000,0.000000,19.491,20.348
baseline,none,hit,120000.000,1,100.000,0.000000,0.000000,0.000000,15.011,20.611
baseline,none,hit,125000.000,1,100.000,0.000000,0.000000,0.000000,1.177,19.395
baseline,none,hit,130000.000,1,100.000,0.000000,0.000000,0.000000,14.693,19.880
baseline,none,hit,135000.000,1,100.000,0.000000,0.000000,0.000000,19.790,20.047
baseline,none,hit,140000.000,1,100.000,0.000000,0.000000,0.000000,1.709,20.510
baseline,none,hit,145000.000,1,100.000,0.000000,0.000000,0.000000,19.718,20.694
baseline,none,healthy-miss,0.000,1,2.000,0.000000,0.000000,0.000000,580.568,587.032
baseline,none,healthy-miss,5000.000,1,2.000,0.000000,0.000000,0.000000,504.651,581.705
baseline,none,healthy-miss,10000.000,1,3.000,0.000000,0.000000,0.000000,578.005,602.771
baseline,none,healthy-miss,15000.000,1,2.000,0.000000,0.000000,0.000000,569.958,571.235
baseline,none,healthy-miss,20000.000,1,3.000,0.000000,0.000000,0.000000,571.705,590.762
baseline,none,healthy-miss,25000.000,1,2.000,0.000000,0.000000,0.000000,505.185,579.175
