mode,fault,stream,phase,trials,requests_mean,success_rate_mean,error_rate_mean,shed_rate_mean,kill_switch_rate_mean,affected_rate_mean,affected_rate_min,affected_rate_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,max_mean_ms
baseline,slow-transform,hit,normal,1,599.000,1.000000,0.000000,0.000000,0.000000,0.005008,0.005008,0.005008,0.374,0.482,1.079,1.079,1.079,38.461
baseline,slow-transform,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000833,0.000833,0.000833,0.382,0.476,1.648,1.648,1.648,38.360
baseline,slow-transform,hit,recovery,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.026667,0.026667,0.026667,0.371,0.688,38.391,38.391,38.391,39.182
baseline,slow-transform,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,543.499,551.970,551.970,551.970,551.970,555.845
baseline,slow-transform,healthy-miss,fault,1,30.000,1.000000,0.000000,0.000000,0.000000,0.933333,0.933333,0.933333,16283.456,17286.513,17290.662,17290.662,17290.662,17291.366
baseline,slow-transform,healthy-miss,recovery,1,30.000,1.000000,0.000000,0.000000,0.000000,0.200000,0.200000,0.200000,544.001,6163.043,7044.088,7044.088,7044.088,8150.507
baseline,slow-transform,poisoned-miss,normal,1,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,294.922,547.312,549.687,549.687,549.687,549.751
baseline,slow-transform,poisoned-miss,fault,1,60.000,0.333333,0.666667,0.000000,0.000000,0.666667,0.666667,0.666667,20000.593,20002.579,20038.282,20038.282,20038.282,20038.935
baseline,slow-transform,poisoned-miss,recovery,1,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,541.315,6445.395,7852.084,7852.084,7852.084,7950.117
bounded-wait,slow-transform,hit,normal,1,599.000,1.000000,0.000000,0.000000,0.000000,0.008347,0.008347,0.008347,0.375,0.705,3.646,3.646,3.646,20.529
bounded-wait,slow-transform,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000833,0.000833,0.000833,0.367,0.525,0.835,0.835,0.835,13.662
bounded-wait,slow-transform,hit,recovery,1,1198.000,1.000000,0.000000,0.000000,0.000000,0.010851,0.010851,0.010851,0.372,0.502,15.184,15.184,15.184,20.625
bounded-wait,slow-transform,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,569.549,711.917,711.917,711.917,711.917,895.581
bounded-wait,slow-transform,healthy-miss,fault,1,30.000,0.233333,0.766667,0.766667,0.000000,0.866667,0.866667,0.866667,2000.590,2001.161,2001.201,2001.201,2001.201,2001.276
bounded-wait,slow-transform,healthy-miss,recovery,1,30.000,1.000000,0.000000,0.000000,0.000000,0.033333,0.033333,0.033333,568.404,684.693,1179.294,1179.294,1179.294,2102.234
bounded-wait,slow-transform,poisoned-miss,normal,1,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,485.874,690.442,708.654,708.654,708.654,808.789
bounded-wait,slow-transform,poisoned-miss,fault,1,60.000,0.266667,0.733333,0.733333,0.000000,0.733333,0.733333,0.733333,2000.928,17220.237,17362.063,17362.063,17362.063,17378.001
bounded-wait,slow-transform,poisoned-miss,recovery,1,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,502.186,692.494,1397.898,1397.898,1397.898,1801.750
kill-switch,slow-transform,hit,normal,1,599.000,1.000000,0.000000,0.000000,0.000000,0.020033,0.020033,0.020033,0.409,0.729,24.931,24.931,24.931,26.910
kill-switch,slow-transform,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.386,0.490,0.654,0.654,0.654,1.665
kill-switch,slow-transform,hit,recovery,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.017500,0.017500,0.017500,0.376,0.612,20.582,20.582,20.582,26.552
kill-switch,slow-transform,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,549.619,736.505,736.505,736.505,736.505,855.929
kill-switch,slow-transform,healthy-miss,fault,1,30.000,0.333333,0.666667,0.000000,0.666667,0.933333,0.933333,0.933333,0.291,16287.779,17289.143,17289.143,17289.143,17295.822
kill-switch,slow-transform,healthy-miss,recovery,1,30.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,548.777,630.185,658.519,658.519,658.519,1024.498
kill-switch,slow-transform,poisoned-miss,normal,1,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,541.869,643.116,729.307,729.307,729.307,774.634
kill-switch,slow-transform,poisoned-miss,fault,1,60.000,0.066667,0.933333,0.000000,0.666667,0.933333,0.933333,0.933333,0.240,20000.898,20001.146,20001.146,20001.146,20001.181
kill-switch,slow-transform,poisoned-miss,recovery,1,60.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,296.990,565.143,727.681,727.681,727.681,963.848
baseline,transform-error,hit,normal,1,599.000,1.000000,0.000000,0.000000,0.000000,0.013356,0.013356,0.013356,0.371,0.576,19.963,19.963,19.963,26.182
baseline,transform-error,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.369,0.587,1.249,1.249,1.249,2.754
baseline,transform-error,hit,recovery,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.022500,0.022500,0.022500,0.362,0.500,25.854,25.854,25.854,26.553
baseline,transform-error,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,580.925,611.029,611.029,611.029,611.029,614.014
baseline,transform-error,healthy-miss,fault,1,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,289.115,295.518,298.122,298.122,298.122,300.539
baseline,transform-error,healthy-miss,recovery,1,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,578.569,583.184,583.889,583.889,583.889,590.078
baseline,transform-error,poisoned-miss,normal,1,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,348.338,591.159,601.909,601.909,601.909,615.853
baseline,transform-error,poisoned-miss,fault,1,60.000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.721,2.759,2.822,2.822,2.822,2.999
baseline,transform-error,poisoned-miss,recovery,1,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.088,585.163,588.793,588.793,588.793,590.142
bounded-wait,transform-error,hit,normal,1,599.000,1.000000,0.000000,0.000000,0.000000,0.010017,0.010017,0.010017,0.380,0.522,1.334,1.334,1.334,20.382
bounded-wait,transform-error,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.387,0.539,1.359,1.359,1.359,3.196
bounded-wait,transform-error,hit,recovery,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.014167,0.014167,0.014167,0.388,0.561,17.534,17.534,17.534,19.967
bounded-wait,transform-error,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,551.770,557.261,557.261,557.261,557.261,564.800
bounded-wait,transform-error,healthy-miss,fault,1,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,293.655,300.778,301.335,301.335,301.335,305.353
bounded-wait,transform-error,healthy-miss,recovery,1,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,551.781,560.445,560.575,560.575,560.575,563.046
bounded-wait,transform-error,poisoned-miss,normal,1,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.988,555.559,555.823,555.823,555.823,559.649
bounded-wait,transform-error,poisoned-miss,fault,1,60.000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.822,2.806,2.961,2.961,2.961,3.148
bounded-wait,transform-error,poisoned-miss,recovery,1,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,318.903,564.501,566.390,566.390,566.390,567.459
kill-switch,transform-error,hit,normal,1,599.000,1.000000,0.000000,0.000000,0.000000,0.006678,0.006678,0.006678,0.370,0.501,1.054,1.054,1.054,30.991
kill-switch,transform-error,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.348,0.489,0.962,0.962,0.962,2.356
kill-switch,transform-error,hit,recovery,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.010833,0.010833,0.010833,0.360,0.530,19.561,19.561,19.561,30.650
kill-switch,transform-error,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,521.490,583.927,583.927,583.927,583.927,585.207
kill-switch,transform-error,healthy-miss,fault,1,30.000,0.333333,0.666667,0.000000,0.666667,0.666667,0.666667,0.666667,0.305,289.572,290.846,290.846,290.846,290.977
kill-switch,transform-error,healthy-miss,recovery,1,30.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,581.320,590.914,591.367,591.367,591.367,591.374
kill-switch,transform-error,poisoned-miss,normal,1,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,290.650,587.105,587.239,587.239,587.239,588.178
kill-switch,transform-error,poisoned-miss,fault,1,60.000,0.000000,1.000000,0.000000,0.666667,1.000000,1.000000,1.000000,0.237,1.997,2.370,2.370,2.370,2.374
kill-switch,transform-error,poisoned-miss,recovery,1,60.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,291.573,589.898,591.748,591.748,591.748,596.686
baseline,slow-original,hit,normal,1,599.000,1.000000,0.000000,0.000000,0.000000,0.018364,0.018364,0.018364,0.381,0.538,20.161,20.161,20.161,31.920
baseline,slow-original,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.006667,0.006667,0.006667,0.382,0.487,1.623,1.623,1.623,31.563
baseline,slow-original,hit,recovery,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.020833,0.020833,0.020833,0.383,0.524,19.991,19.991,19.991,31.848
baseline,slow-original,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,587.027,591.273,591.273,591.273,591.273,598.109
baseline,slow-original,healthy-miss,fault,1,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,582.708,588.747,592.541,592.541,592.541,596.142
baseline,slow-original,healthy-miss,recovery,1,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,587.147,887.370,889.269,889.269,889.269,891.692
baseline,slow-original,poisoned-miss,normal,1,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303.541,592.949,593.684,593.684,593.684,593.747
baseline,slow-original,poisoned-miss,fault,1,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15524.321,15889.544,15893.758,15893.758,15893.758,15902.191
baseline,slow-original,poisoned-miss,recovery,1,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,523.937,885.404,888.485,888.485,888.485,899.883
bounded-wait,slow-original,hit,normal,1,599.000,1.000000,0.000000,0.000000,0.000000,0.010017,0.010017,0.010017,0.380,0.511,1.915,1.915,1.915,19.039
bounded-wait,slow-original,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.385,0.497,0.636,0.636,0.636,2.405
bounded-wait,slow-original,hit,recovery,1,1198.000,1.000000,0.000000,0.000000,0.000000,0.017529,0.017529,0.017529,0.390,0.520,19.052,19.052,19.052,20.857
bounded-wait,slow-original,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,548.336,556.734,556.734,556.734,556.734,559.071
bounded-wait,slow-original,healthy-miss,fault,1,30.000,0.133333,0.866667,0.866667,0.000000,0.900000,0.900000,0.900000,2000.858,2001.302,2002.117,2002.117,2002.117,2166.313
bounded-wait,slow-original,healthy-miss,recovery,1,30.000,1.000000,0.000000,0.000000,0.000000,0.033333,0.033333,0.033333,552.530,840.873,1063.461,1063.461,1063.461,1755.366
bounded-wait,slow-original,poisoned-miss,normal,1,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,297.118,555.739,557.391,557.391,557.391,563.836
bounded-wait,slow-original,poisoned-miss,fault,1,60.000,0.266667,0.733333,0.733333,0.000000,0.733333,0.733333,0.733333,2000.974,16874.480,16940.152,16940.152,16940.152,17166.922
bounded-wait,slow-original,poisoned-miss,recovery,1,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,538.462,862.930,1840.749,1840.749,1840.749,2230.067
kill-switch,slow-original,hit,normal,1,599.000,1.000000,0.000000,0.000000,0.000000,0.020033,0.020033,0.020033,0.389,0.524,45.325,45.325,45.325,46.198
kill-switch,slow-original,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.389,0.511,0.730,0.730,0.730,1.564
kill-switch,slow-original,hit,recovery,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.019167,0.019167,0.019167,0.385,0.511,45.507,45.507,45.507,46.304
kill-switch,slow-original,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,550.040,556.703,556.703,556.703,556.703,559.696
kill-switch,slow-original,healthy-miss,fault,1,30.000,0.333333,0.666667,0.000000,0.666667,0.666667,0.666667,0.666667,0.338,301.511,552.617,552.617,552.617,560.417
kill-switch,slow-original,healthy-miss,recovery,1,30.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,547.413,551.911,554.698,554.698,554.698,554.710
kill-switch,slow-original,poisoned-miss,normal,1,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,296.607,552.898,555.865,555.865,555.865,564.315
kill-switch,slow-original,poisoned-miss,fault,1,60.000,0.333333,0.666667,0.000000,0.666667,0.666667,0.666667,0.666667,0.328,15295.344,15482.268,15482.268,15482.268,15553.102
kill-switch,slow-original,poisoned-miss,recovery,1,60.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,289.388,553.514,553.985,553.985,553.985,559.784
