mode,fault,stream,bucket_start_ms,trials,requests_mean,error_rate_mean,shed_rate_mean,affected_rate_mean,p99_mean_ms,max_mean_ms
baseline,slow-transform,hit,0.000,1,99.000,0.000000,0.000000,0.000000,0.798,0.953
baseline,slow-transform,hit,5000.000,1,100.000,0.000000,0.000000,0.000000,1.022,1.335
baseline,slow-transform,hit,10000.000,1,100.000,0.000000,0.000000,0.020000,20.114,20.271
baseline,slow-transform,hit,15000.000,1,100.000,0.000000,0.000000,0.000000,0.832,1.062
baseline,slow-transform,hit,20000.000,1,100.000,0.000000,0.000000,0.000000,1.128,1.477
baseline,slow-transform,hit,25000.000,1,100.000,0.000000,0.000000,0.010000,0.963,38.461
baseline,slow-transform,hit,30000.000,1,100.000,0.000000,0.000000,0.000000,1.003,1.839
baseline,slow-transform,hit,35000.000,1,100.000,0.000000,0.000000,0.000000,1.721,2.014
baseline,slow-transform,hit,40000.000,1,100.000,0.000000,0.000000,0.000000,1.534,1.804
baseline,slow-transform,hit,45000.000,1,100.000,0.000000,0.000000,0.000000,0.692,1.724
baseline,slow-transform,hit,50000.000,1,100.000,0.000000,0.000000,0.010000,1.252,38.360
baseline,slow-transform,hit,55000.000,1,100.000,0.000000,0.000000,0.000000,0.628,1.583
baseline,slow-transform,hit,60000.000,1,100.000,0.000000,0.000000,0.000000,1.522,1.704
baseline,slow-transform,hit,65000.000,1,100.000,0.000000,0.000000,0.000000,1.648,1.893
baseline,slow-transform,hit,70000.000,1,100.000,0.000000,0.000000,0.000000,1.129,2.983
baseline,slow-transform,hit,75000.000,1,100.000,0.000000,0.000000,0.000000,1.310,2.039
baseline,slow-transform,hit,80000.000,1,100.000,0.000000,0.000000,0.000000,1.150,2.237
baseline,slow-transform,hit,85000.000,1,100.000,0.000000,0.000000,0.000000,1.109,2.120
baseline,slow-transform,hit,90000.000,1,100.000,0.000000,0.000000,0.030000,38.542,39.182
baseline,slow-transform,hit,95000.000,1,100.000,0.000000,0.000000,0.060000,38.963,39.024
baseline,slow-transform,hit,100000.000,1,100.000,0.000000,0.000000,0.030000,38.218,38.608
