mode,fault,stream,phase,trials,requests_mean,success_rate_mean,error_rate_mean,shed_rate_mean,kill_switch_rate_mean,affected_rate_mean,affected_rate_min,affected_rate_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,max_mean_ms
baseline,none,hit,normal,5,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.361,0.525,18.598,1.808,25.994,31.611
baseline,none,hit,fault,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.355,0.500,20.276,1.870,45.555,31.685
baseline,none,hit,recovery,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.354,0.497,17.342,1.438,25.831,31.488
baseline,none,healthy-miss,normal,5,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,560.431,579.114,579.114,561.348,592.130,581.636
baseline,none,healthy-miss,fault,5,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,570.607,579.597,581.019,558.966,596.341,583.254
baseline,none,healthy-miss,recovery,5,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,570.526,577.913,579.221,557.591,595.705,583.576
baseline,none,poisoned-miss,normal,5,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,299.810,576.485,578.581,561.005,591.915,580.145
baseline,none,poisoned-miss,fault,5,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.439,577.800,579.591,557.240,596.722,581.739
baseline,none,poisoned-miss,recovery,5,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,298.469,577.211,579.832,554.201,595.029,582.510
bounded-wait,none,hit,normal,5,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343,0.487,11.668,1.121,19.975,32.118
bounded-wait,none,hit,fault,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357,0.506,11.886,1.337,20.217,32.301
bounded-wait,none,hit,recovery,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.347,0.503,19.416,17.239,20.634,32.216
bounded-wait,none,healthy-miss,normal,5,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,561.085,568.460,568.460,548.836,596.845,570.758
bounded-wait,none,healthy-miss,fault,5,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,562.784,575.890,577.453,557.726,603.497,579.496
bounded-wait,none,healthy-miss,recovery,5,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,564.210,570.980,573.008,556.169,597.331,575.825
bounded-wait,none,poisoned-miss,normal,5,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,297.689,566.384,567.884,551.883,589.891,570.234
bounded-wait,none,poisoned-miss,fault,5,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.818,573.063,577.699,557.249,597.166,580.131
bounded-wait,none,poisoned-miss,recovery,5,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303.791,570.809,573.165,556.899,595.340,577.610
kill-switch,none,hit,normal,5,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.352,0.546,14.826,1.175,44.589,37.190
kill-switch,none,hit,fault,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.349,0.532,30.485,20.015,44.364,37.498
kill-switch,none,hit,recovery,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.347,0.523,22.195,1.979,48.171,37.422
kill-switch,none,healthy-miss,normal,5,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,549.384,555.040,555.040,549.832,558.677,557.957
kill-switch,none,healthy-miss,fault,5,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,549.318,558.689,560.313,557.288,565.386,562.808
kill-switch,none,healthy-miss,recovery,5,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,552.889,559.804,561.801,556.257,571.416,564.375
