mode,fault,trials,peak_cgroup_memory_mean_bytes,peak_cgroup_memory_max_bytes,max_original_bytes_inflight_mean,max_original_bytes_inflight_max,max_transform_waiting_mean,max_transform_waiting_max,cpu_time_mean_ms,poisoned_fault_error_rate_mean,poisoned_fault_p99_mean_ms,transform_timeout_mean,transform_shed_mean,kill_switch_rejected_mean,fault_injections_mean,healthy_miss_fault_http500_mean
baseline,none,5,867934208.000,930521088,0.000,0,0.000,0,69670.717,0.000000,579.591,0.000,0.000,0.000,0.000,0.000
bounded-wait,none,5,858209484.800,931688448,0.000,0,0.000,0,69435.956,0.000000,577.699,0.000,0.000,0.000,0.000,0.000
kill-switch,none,5,855706009.600,928604160,0.000,0,0.000,0,69534.961,0.000000,560.979,0.000,0.000,0.000,0.000,0.000
baseline,slow-transform,5,1215664947.200,1256718336,118175696.000,118175696,25.000,25,57449.537,0.666667,20002.783,40.000,0.000,0.000,44.000,0.000
bounded-wait,slow-transform,5,947314688.000,984821760,16300096.000,16300096,3.200,4,48511.612,0.733333,17212.494,0.000,69.200,0.000,16.000,0.000
kill-switch,slow-transform,5,955655782.400,1018462208,89650528.000,89650528,18.000,18,41721.190,0.933333,20001.212,16.000,0.000,75.000,20.000,0.000
baseline,transform-timeout,5,1217927577.600,1256841216,118175696.000,118175696,25.000,25,56460.056,0.733333,20002.757,44.000,0.000,0.000,44.000,0.000
bounded-wait,transform-timeout,5,912468377.600,936542208,16300096.000,16300096,3.200,4,43616.916,0.983333,20004.862,14.000,70.400,0.000,14.000,0.000
kill-switch,transform-timeout,5,1006347059.200,1031655424,114100672.000,114100672,24.000,24,40520.210,1.000000,20001.253,20.000,0.000,75.000,20.000,0.000
baseline,transform-error,5,888164352.000,921382912,0.000,0,0.000,0,51257.667,1.000000,3.077,0.000,0.000,0.000,60.000,0.000
bounded-wait,transform-error,5,887364812.800,923652096,0.000,0,0.000,0,51130.783,1.000000,3.025,0.000,0.000,0.000,60.000,0.000
kill-switch,transform-error,5,883645644.800,919949312,0.000,0,0.000,0,40608.269,1.000000,2.797,0.000,0.000,75.000,20.000,0.000
baseline,slow-original,5,953149849.600,978350080,4890028.800,8150048,0.000,0,69554.761,0.000000,15885.599,0.000,0.000,0.000,60.000,0.000
bounded-wait,slow-original,5,928406732.800,964771840,8150048.000,8150048,3.200,4,48206.431,0.733333,17125.728,0.000,69.600,0.000,16.000,0.000
kill-switch,slow-original,5,901682790.400,928563200,815004.800,4075024,0.000,0,46876.132,0.666667,15566.111,0.000,0.000,74.800,20.000,0.000
