mode,fault,stream,bucket_start_ms,trials,requests_mean,error_rate_mean,shed_rate_mean,affected_rate_mean,p99_mean_ms,max_mean_ms
baseline,none,hit,0.000,5,99.000,0.000000,0.000000,0.000000,11.461,31.288
baseline,none,hit,5000.000,5,100.000,0.000000,0.000000,0.000000,4.838,23.717
baseline,none,hit,10000.000,5,100.000,0.000000,0.000000,0.000000,19.440,24.564
baseline,none,hit,15000.000,5,100.000,0.000000,0.000000,0.000000,6.213,10.619
baseline,none,hit,20000.000,5,100.000,0.000000,0.000000,0.000000,14.933,28.149
baseline,none,hit,25000.000,5,100.000,0.000000,0.000000,0.000000,11.496,18.006
baseline,none,hit,30000.000,5,100.000,0.000000,0.000000,0.000000,20.003,20.112
baseline,none,hit,35000.000,5,100.000,0.000000,0.000000,0.000000,5.885,17.690
baseline,none,hit,40000.000,5,100.000,0.000000,0.000000,0.000000,25.639,31.345
baseline,none,hit,45000.000,5,100.000,0.000000,0.000000,0.000000,1.309,24.534
baseline,none,hit,50000.000,5,100.000,0.000000,0.000000,0.000000,11.026,15.256
baseline,none,hit,55000.000,5,100.000,0.000000,0.000000,0.000000,4.737,23.088
baseline,none,hit,60000.000,5,100.000,0.000000,0.000000,0.000000,14.246,30.045
baseline,none,hit,65000.000,5,100.000,0.000000,0.000000,0.000000,10.014,19.444
baseline,none,hit,70000.000,5,100.000,0.000000,0.000000,0.000000,15.286,24.030
baseline,none,hit,75000.000,5,100.000,0.000000,0.000000,0.000000,6.403,22.279
baseline,none,hit,80000.000,5,100.000,0.000000,0.000000,0.000000,1.248,9.076
baseline,none,hit,85000.000,5,100.000,0.000000,0.000000,0.000000,1.269,23.100
baseline,none,hit,90000.000,5,100.000,0.000000,0.000000,0.000000,6.336,21.742
baseline,none,hit,95000.000,5,100.000,0.000000,0.000000,0.000000,7.885,16.924
baseline,none,hit,100000.000,5,100.000,0.000000,0.000000,0.000000,10.093,26.462
baseline,none,hit,105000.000,5,100.000,0.000000,0.000000,0.000000,21.682,30.668
baseline,none,hit,110000.000,5,100.000,0.000000,0.000000,0.000000,19.126,29.343
baseline,none,hit,115000.000,5,100.000,0.000000,0.000000,0.000000,1.186,13.454
baseline,none,hit,120000.000,5,100.000,0.000000,0.000000,0.000000,5.082,17.548
baseline,none,hit,125000.000,5,100.000,0.000000,0.000000,0.000000,8.689,21.957
baseline,none,hit,130000.000,5,100.000,0.000000,0.000000,0.000000,20.032,23.720
baseline,none,hit,135000.000,5,100.000,0.000000,0.000000,0.000000,8.258,10.507
baseline,none,hit,140000.000,5,100.000,0.000000,0.000000,0.000000,17.428,26.933
baseline,none,hit,145000.000,5,100.000,0.000000,0.000000,0.000000,1.022,17.416
baseline,none,healthy-miss,0.000,5,2.000,0.000000,0.000000,0.000000,555.808,562.788
baseline,none,healthy-miss,5000.000,5,2.000,0.000000,0.000000,0.000000,547.391,575.109
baseline,none,healthy-miss,10000.000,5,3.000,0.000000,0.000000,0.000000,560.487,566.191
baseline,none,healthy-miss,15000.000,5,2.000,0.000000,0.000000,0.000000,545.235,575.443
baseline,none,healthy-miss,20000.000,5,3.000,0.000000,0.000000,0.000000,573.276,577.770
baseline,none,healthy-miss,25000.000,5,2.000,0.000000,0.000000,0.000000,557.692,575.845
baseline,none,healthy-miss,30000.000,5,3.000,0.000000,0.000000,0.000000,573.037,580.199
baseline,none,healthy-miss,35000.000,5,2.000,0.000000,0.000000,0.000000,568.041,580.208
baseline,none,healthy-miss,40000.000,5,3.000,0.000000,0.000000,0.000000,571.409,574.973
baseline,none,healthy-miss,45000.000,5,2.000,0.000000,0.000000,0.000000,545.470,572.928
baseline,none,healthy-miss,50000.000,5,3.000,0.000000,0.000000,0.000000,570.195,574.590
baseline,none,healthy-miss,55000.000,5,2.000,0.000000,0.000000,0.000000,540.223,560.687
baseline,none,healthy-miss,60000.000,5,3.000,0.000000,0.000000,0.000000,569.530,572.677
baseline,none,healthy-miss,65000.000,5,2.000,0.000000,0.000000,0.000000,545.808,575.668
baseline,none,healthy-miss,70000.000,5,3.000,0.000000,0.000000,0.000000,560.224,577.180
baseline,none,healthy-miss,75000.000,5,2.000,0.000000,0.000000,0.000000,569.120,576.797
baseline,none,healthy-miss,80000.000,5,3.000,0.000000,0.000000,0.000000,571.961,576.144
baseline,none,healthy-miss,85000.000,5,2.000,0.000000,0.000000,0.000000,542.850,573.057
baseline,none,healthy-miss,90000.000,5,3.000,0.000000,0.000000,0.000000,573.467,576.517
baseline,none,healthy-miss,95000.000,5,2.000,0.000000,0.000000,0.000000,556.676,574.725
baseline,none,healthy-miss,100000.000,5,3.000,0.000000,0.000000,0.000000,572.741,580.090
baseline,none,healthy-miss,105000.000,5,2.000,0.000000,0.000000,0.000000,545.161,571.673
baseline,none,healthy-miss,110000.000,5,3.000,0.000000,0.000000,0.000000,571.396,574.638
baseline,none,healthy-miss,115000.000,5,2.000,0.000000,0.000000,0.000000,567.753,575.272
baseline,none,healthy-miss,120000.000,5,3.000,0.000000,0.000000,0.000000,555.130,575.487
baseline,none,healthy-miss,125000.000,5,2.000,0.000000,0.000000,0.000000,568.802,575.108
baseline,none,healthy-miss,130000.000,5,3.000,0.000000,0.000000,0.000000,569.076,571.619
baseline,none,healthy-miss,135000.000,5,2.000,0.000000,0.000000,0.000000,557.099,575.022
baseline,none,healthy-miss,140000.000,5,3.000,0.000000,0.000000,0.000000,559.107,574.435
baseline,none,healthy-miss,145000.000,5,2.000,0.000000,0.000000,0.000000,543.449,571.061
baseline,none,poisoned-miss,0.000,5,4.000,0.000000,0.000000,0.000000,554.803,573.829
baseline,none,poisoned-miss,5000.000,5,5.000,0.000000,0.000000,0.000000,556.995,574.604
baseline,none,poisoned-miss,10000.000,5,5.000,0.000000,0.000000,0.000000,572.039,575.971
baseline,none,poisoned-miss,15000.000,5,5.000,0.000000,0.000000,0.000000,559.254,575.545
baseline,none,poisoned-miss,20000.000,5,5.000,0.000000,0.000000,0.000000,572.408,577.730
baseline,none,poisoned-miss,25000.000,5,5.000,0.000000,0.000000,0.000000,560.697,575.569
baseline,none,poisoned-miss,30000.000,5,5.000,0.000000,0.000000,0.000000,571.916,575.454
baseline,none,poisoned-miss,35000.000,5,5.000,0.000000,0.000000,0.000000,557.031,572.813
baseline,none,poisoned-miss,40000.000,5,5.000,0.000000,0.000000,0.000000,570.706,576.496
baseline,none,poisoned-miss,45000.000,5,5.000,0.000000,0.000000,0.000000,547.137,572.583
baseline,none,poisoned-miss,50000.000,5,5.000,0.000000,0.000000,0.000000,570.022,574.501
baseline,none,poisoned-miss,55000.000,5,5.000,0.000000,0.000000,0.000000,570.687,576.814
baseline,none,poisoned-miss,60000.000,5,5.000,0.000000,0.000000,0.000000,572.945,578.350
baseline,none,poisoned-miss,65000.000,5,5.000,0.000000,0.000000,0.000000,553.576,557.605
baseline,none,poisoned-miss,70000.000,5,5.000,0.000000,0.000000,0.000000,569.642,573.461
baseline,none,poisoned-miss,75000.000,5,5.000,0.000000,0.000000,0.000000,557.806,575.584
baseline,none,poisoned-miss,80000.000,5,5.000,0.000000,0.000000,0.000000,574.899,578.849
baseline,none,poisoned-miss,85000.000,5,5.000,0.000000,0.000000,0.000000,569.776,573.173
baseline,none,poisoned-miss,90000.000,5,5.000,0.000000,0.000000,0.000000,568.273,575.608
baseline,none,poisoned-miss,95000.000,5,5.000,0.000000,0.000000,0.000000,568.753,576.008
baseline,none,poisoned-miss,100000.000,5,5.000,0.000000,0.000000,0.000000,570.639,577.322
baseline,none,poisoned-miss,105000.000,5,5.000,0.000000,0.000000,0.000000,569.732,577.723
baseline,none,poisoned-miss,110000.000,5,5.000,0.000000,0.000000,0.000000,570.738,574.602
baseline,none,poisoned-miss,115000.000,5,5.000,0.000000,0.000000,0.000000,554.467,574.845
baseline,none,poisoned-miss,120000.000,5,5.000,0.000000,0.000000,0.000000,558.342,562.098
baseline,none,poisoned-miss,125000.000,5,5.000,0.000000,0.000000,0.000000,555.379,573.678
baseline,none,poisoned-miss,130000.000,5,5.000,0.000000,0.000000,0.000000,571.269,574.834
baseline,none,poisoned-miss,135000.000,5,5.000,0.000000,0.000000,0.000000,531.049,559.653
baseline,none,poisoned-miss,140000.000,5,5.000,0.000000,0.000000,0.000000,569.395,574.853
baseline,none,poisoned-miss,145000.000,5,5.000,0.000000,0.000000,0.000000,553.885,570.937
bounded-wait,none,hit,0.000,5,99.000,0.000000,0.000000,0.000000,6.871,19.778
bounded-wait,none,hit,5000.000,5,100.000,0.000000,0.000000,0.000000,8.040,31.381
bounded-wait,none,hit,10000.000,5,100.000,0.000000,0.000000,0.000000,11.058,31.796
bounded-wait,none,hit,15000.000,5,100.000,0.000000,0.000000,0.000000,0.961,8.606
bounded-wait,none,hit,20000.000,5,100.000,0.000000,0.000000,0.000000,13.248,31.572
bounded-wait,none,hit,25000.000,5,100.000,0.000000,0.000000,0.000000,0.865,4.664
bounded-wait,none,hit,30000.000,5,100.000,0.000000,0.000000,0.000000,4.752,16.040
bounded-wait,none,hit,35000.000,5,100.000,0.000000,0.000000,0.000000,7.969,25.034
bounded-wait,none,hit,40000.000,5,100.000,0.000000,0.000000,0.000000,15.736,21.650
bounded-wait,none,hit,45000.000,5,100.000,0.000000,0.000000,0.000000,13.493,25.236
bounded-wait,none,hit,50000.000,5,100.000,0.000000,0.000000,0.000000,7.887,29.112
bounded-wait,none,hit,55000.000,5,100.000,0.000000,0.000000,0.000000,15.796,22.608
bounded-wait,none,hit,60000.000,5,100.000,0.000000,0.000000,0.000000,10.133,29.625
