run_id,trial_id,mode,fault,repetition,valid,invalid_reason,started_at,finished_at,total_requests,success_requests,error_requests,shed_requests,kill_switch_requests,saturated_requests,fault_on_offset_ms,fault_off_offset_ms,kill_switch_on_offset_ms,kill_switch_off_offset_ms,derivative_hits,derivative_misses,transform_success,transform_error,transform_timeout,transform_shed,kill_switch_rejected,fault_injections,max_transform_waiting,max_original_bytes_inflight,cpu_time_ms,peak_rss_bytes,peak_cgroup_memory_bytes,hit_normal_p99_ms,hit_fault_p99_ms,hit_recovery_p99_ms,hit_fault_errors,hit_fault_requests,miss_normal_p99_ms,miss_fault_p99_ms,miss_recovery_p99_ms,miss_fault_errors,miss_fault_requests,poisoned_fault_errors,poisoned_fault_requests
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,bounded-wait-none-r01,bounded-wait,none,1,true,,2026-09-11T12:52:54.704660743Z,2026-09-11T12:55:41.389815882Z,3222,3222,0,0,0,0,-1.000,-1.000,-1.000,-1.000,2999,223,223,0,0,0,0,0,0,0,69433.036,657448960,643158016,19.975,20.217,19.778,0,1200,548.836,567.870,556.169,0,30,0,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,kill-switch-none-r01,kill-switch,none,1,true,,2026-09-11T12:55:42.475062131Z,2026-09-11T12:58:29.149137132Z,3222,3222,0,0,0,0,-1.000,-1.000,-1.000,-1.000,2999,223,223,0,0,0,0,0,0,0,69963.763,659697664,644837376,44.589,44.364,21.035,0,1200,556.429,558.348,571.416,0,30,0,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,baseline-none-r01,baseline,none,1,true,,2026-09-11T12:58:30.24781573Z,2026-09-11T13:01:16.931499214Z,3222,3222,0,0,0,0,-1.000,-1.000,-1.000,-1.000,2999,223,223,0,0,0,0,0,0,0,70542.485,718741504,706088960,19.969,45.555,20.253,0,1200,568.136,569.428,559.870,0,30,0,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,kill-switch-slow-transform-r01,kill-switch,slow-transform,1,true,,2026-09-11T13:01:18.260976511Z,2026-09-11T13:04:04.955517887Z,3222,3131,91,0,75,0,30000.984,90000.935,50000.873,100000.275,2999,223,132,0,16,0,75,20,18,89650528,41979.446,823963648,802230272,15.630,0.633,15.504,0,1200,550.254,17289.212,553.793,20,30,56,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,baseline-slow-transform-r01,baseline,slow-transform,1,true,,2026-09-11T13:04:06.174851363Z,2026-09-11T13:06:52.827477457Z,3222,3182,40,0,0,0,30000.994,90000.833,-1.000,-1.000,2999,223,183,0,40,0,0,44,25,118175696,58007.550,1147097088,1130180608,19.879,0.725,45.958,0,1200,602.059,17301.447,7306.427,0,30,40,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,bounded-wait-slow-transform-r01,bounded-wait,slow-transform,1,true,,2026-09-11T13:06:53.934799027Z,2026-09-11T13:09:40.610750035Z,3222,3154,68,68,0,0,30000.809,90001.021,-1.000,-1.000,2999,223,155,0,0,68,0,16,3,16300096,50633.917,919343104,897437696,1.430,1.045,19.511,0,1200,591.367,2001.323,1413.110,24,30,44,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,baseline-transform-timeout-r01,baseline,transform-timeout,1,true,,2026-09-11T13:09:41.7279807Z,2026-09-11T13:12:28.419045514Z,3193,3149,44,0,0,0,30001.001,90000.940,-1.000,-1.000,2970,223,179,0,44,0,0,44,25,118175696,58122.558,1195233280,1177186304,0.967,1.986,20.176,0,1200,584.537,17290.293,7187.028,0,30,44,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,bounded-wait-transform-timeout-r01,bounded-wait,transform-timeout,1,true,,2026-09-11T13:12:29.589134159Z,2026-09-11T13:15:16.262831736Z,3222,3139,83,69,0,0,30000.131,90000.803,-1.000,-1.000,2999,223,140,0,14,69,0,14,3,16300096,44381.682,872468480,852152320,1.108,0.576,1.360,0,1200,610.770,2001.025,614.780,24,30,59,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,kill-switch-transform-timeout-r01,kill-switch,transform-timeout,1,true,,2026-09-11T13:15:17.412650306Z,2026-09-11T13:18:04.078282026Z,3222,3127,95,0,75,0,30001.170,90000.769,50000.380,100001.111,2999,223,128,0,20,0,75,20,24,114100672,40688.992,965967872,943955968,1.341,0.727,19.907,0,1200,554.485,17287.790,559.795,20,30,60,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,bounded-wait-transform-error-r01,bounded-wait,transform-error,1,true,,2026-09-11T13:18:05.35269532Z,2026-09-11T13:20:52.040990311Z,3222,3162,60,0,0,0,30001.154,90001.063,-1.000,-1.000,2999,223,163,60,0,0,0,60,0,0,51310.211,855343104,840097792,1.201,1.057,19.429,0,1200,586.693,294.040,589.032,0,30,60,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,kill-switch-transform-error-r01,kill-switch,transform-error,1,true,,2026-09-11T13:20:53.139014608Z,2026-09-11T13:23:39.804927493Z,3222,3127,95,0,75,0,30000.482,90000.998,50001.022,100001.135,2999,223,128,20,0,0,75,20,0,0,41208.306,855490560,836255744,1.522,0.694,19.980,0,1200,588.318,303.615,590.574,20,30,60,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,baseline-transform-error-r01,baseline,transform-error,1,true,,2026-09-11T13:23:40.94448329Z,2026-09-11T13:26:27.616625172Z,3222,3162,60,0,0,0,30000.718,90000.270,-1.000,-1.000,2999,223,163,60,0,0,0,60,0,0,51707.026,858951680,842981376,33.660,1.283,33.216,0,1200,556.121,304.151,564.122,0,30,60,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,kill-switch-slow-original-r01,kill-switch,slow-original,1,true,,2026-09-11T13:26:28.73835992Z,2026-09-11T13:29:15.41469299Z,3220,3146,74,0,74,0,30001.057,90001.155,50020.181,100000.443,2997,223,149,0,0,0,74,20,0,4075024,47518.526,860016640,844795904,10.836,1.177,11.141,0,1200,561.321,553.230,619.511,19,30,40,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,baseline-slow-original-r01,baseline,slow-original,1,true,,2026-09-11T13:29:16.498554065Z,2026-09-11T13:32:03.174823481Z,3222,3222,0,0,0,0,30000.700,90000.829,-1.000,-1.000,2999,223,223,0,0,0,0,60,0,0,69882.043,916213760,902316032,20.835,25.259,25.612,0,1200,562.885,558.693,850.492,0,30,0,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,bounded-wait-slow-original-r01,bounded-wait,slow-original,1,true,,2026-09-11T13:32:04.42988347Z,2026-09-11T13:34:51.129775628Z,3222,3153,69,69,0,0,30001.013,90001.036,-1.000,-1.000,2999,223,154,0,0,69,0,16,3,8150048,48634.695,867381248,848969728,1.047,0.574,19.549,0,1200,577.081,2001.195,985.843,25,30,44,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,kill-switch-none-r02,kill-switch,none,2,true,,2026-09-11T13:34:52.349946986Z,2026-09-11T13:37:39.001730568Z,3222,3222,0,0,0,0,-1.000,-1.000,-1.000,-1.000,2999,223,223,0,0,0,0,0,0,0,70046.998,867098624,854380544,1.175,20.033,48.171,0,1200,558.677,565.386,567.858,0,30,0,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,baseline-none-r02,baseline,none,2,true,,2026-09-11T13:37:40.273292272Z,2026-09-11T13:40:26.951503742Z,3222,3222,0,0,0,0,-1.000,-1.000,-1.000,-1.000,2999,223,223,0,0,0,0,0,0,0,70252.371,866856960,853352448,25.951,25.787,19.382,0,1200,592.130,593.447,595.705,0,30,0,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,bounded-wait-none-r02,bounded-wait,none,2,true,,2026-09-11T13:40:28.245816699Z,2026-09-11T13:43:14.910570496Z,3222,3222,0,0,0,0,-1.000,-1.000,-1.000,-1.000,2999,223,223,0,0,0,0,0,0,0,70198.883,868392960,857939968,1.196,1.465,19.983,0,1200,596.845,603.497,594.421,0,30,0,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,baseline-slow-transform-r02,baseline,slow-transform,2,true,,2026-09-11T13:43:19.555009007Z,2026-09-11T13:46:06.243738655Z,3217,3177,40,0,0,0,30001.081,90000.395,-1.000,-1.000,2994,223,183,0,40,0,0,44,25,118175696,58467.262,1269014528,1252007936,1.201,1.037,31.412,0,1200,601.518,17299.046,7292.385,0,30,40,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,bounded-wait-slow-transform-r02,bounded-wait,slow-transform,2,true,,2026-09-11T13:46:07.482718229Z,2026-09-11T13:48:54.143909953Z,3222,3154,68,68,0,0,30000.782,90000.914,-1.000,-1.000,2999,223,155,0,0,68,0,16,3,16300096,48893.226,935333888,917270528,1.451,0.598,41.142,0,1200,568.693,2001.235,1565.532,24,30,44,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,kill-switch-slow-transform-r02,kill-switch,slow-transform,2,true,,2026-09-11T13:48:55.223775346Z,2026-09-11T13:51:41.900315993Z,3221,3130,91,0,75,0,30000.482,90000.436,50000.403,100000.434,2998,223,132,0,16,0,75,20,18,89650528,41724.641,967360512,947548160,1.064,0.604,10.938,0,1200,568.647,17280.877,569.772,20,30,56,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,bounded-wait-transform-timeout-r02,bounded-wait,transform-timeout,2,true,,2026-09-11T13:51:43.140294236Z,2026-09-11T13:54:29.815677687Z,3222,3136,86,72,0,0,30000.675,90000.417,-1.000,-1.000,2999,223,137,0,14,72,0,14,3,16300096,43317.541,925052928,909234176,19.546,0.539,19.636,0,1200,555.086,2001.334,560.149,27,30,59,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,kill-switch-transform-timeout-r02,kill-switch,transform-timeout,2,true,,2026-09-11T13:54:31.037333215Z,2026-09-11T13:57:17.713046796Z,3222,3127,95,0,75,0,30000.900,90000.410,50000.602,100000.679,2999,223,128,0,20,0,75,20,24,114100672,40708.891,1034317824,1013624832,1.313,0.573,1.317,0,1200,607.061,17280.667,608.592,20,30,60,60
retained-e8c21674a86f5d4737b23a59e2071da7754f4ff2,baseline-transform-timeout-r02,baseline,transform-timeout,2,true,,2026-09-11T13:57:18.83378727Z,2026-09-11T14:00:05.509214191Z,3212,3168,44,0,0,0,30000.739,90000.844,-1.000,-1.000,2989,223,179,0,44,0,0,44,25,118175696,56542.276,1274089472,1256841216,19.892,0.781,26.075,0,1200,592.040,17295.846,7197.522,0,30,44,60
